retailer_key,retailer_name,url,brand,line,size,box_qty,price_override
nickscigarworld,Nick's Cigar World,https://nickscigarworld.com/shop/premium-cigars/hoyo-de-monterrey-excalibur/excalibur-by-hoyo-de-monterrey-epicure-ems/,Hoyo de Monterrey,Excalibur,5.2x50,20,150.95
planetcigars,Planet Cigars,https://www.planetcigars.com/excalibur/excalibur-epicures-natural,Hoyo de Monterrey,Excalibur,5.2x50,20,132.97
neptune,Neptune Cigar,https://www.neptunecigar.com/cigars/norteno-lonsdale,Drew Estate,Herrera Esteli Norteno,6.5x44,25,224.95
cubancrafters,Cuban Crafters,https://cubancrafters.com/drew-estate-herrera-esteli-norteno-lonsdale-deluxe-6-x-44/,Drew Estate,Herrera Esteli Norteno,6.5x44,25,238.50
ci,Cigars International,https://www.cigarsinternational.com/p/drew-estate-herrera-esteli-norteno-cigars/2016372/,Drew Estate,Herrera Esteli Norteno,6.5x44,25,163.99
cigarplace,Cigar Place,https://www.cigarplace.biz/all-brands/herrera-esteli-cigars/herrera-esteli-norteno.html,Drew Estate,Herrera Esteli Norteno,6.5x44,25,183.95
smallbatchcigar,Small Batch Cigar,https://www.smallbatchcigar.com/herrera-esteli-norteno-lonsdale-2,Drew Estate,Herrera Esteli Norteno,6.5x44,25,284.00
bestcigar,Best Cigar Prices,https://www.bestcigarprices.com/cigar-directory/herrera-esteli-cigars/herrera-esteli-norteno-lonsdale-deluxe-box~press-235523/?srsltid=AfmBOopMrK3y3ZVatAeFasdkkLaIuTZANViuMHfRcZeMpgfGaSeKSy7t,Drew Estate,Herrera Esteli Norteno,6.5x44,25,224.99
niceashcigars,Nice Ash Cigars,https://www.niceashcigars.com/product-p/hen6544d.htm,Drew Estate,Herrera Esteli Norteno,6.5x44,25,296.32
cigarsdirect,Cigars Direct,https://www.cigarsdirect.com/collections/herrera-esteli-by-drew-estate-norteno/products/herrera-esteli-by-drew-estate-norteno-lonsdale?variant=31084935413857,Drew Estate,Herrera Esteli Norteno,6.5x44,25,246.38
bonitasmokeshop,Bonita Smoke Shop,https://bonitasmokeshop.com/herrera-esteli-norte-o-lonsdale-deluxe/,Drew Estate,Herrera Esteli Norteno,6.5x44,25,224.48
cigar,Cigar.com,https://www.cigar.com/p/drew-estate-herrera-esteli-norteno-ii-cigars/2013657/,Drew Estate,Herrera Esteli Norteno,6.5x44,25,224.99
secretocigarbar,Secreto Cigar Bar,https://secretocigarbar.com/products/herrera-norteno-lonsdale,Drew Estate,Herrera Esteli Norteno,6.5x44,25,235.00
thompson,Thompson Cigar,https://www.thompsoncigar.com/p/herrera-esteli-norteno-lonsdale-deluxe-san-andres/101530/,Drew Estate,Herrera Esteli Norteno,6.5x44,25,224.99
momscigars,Mom's Cigars,https://www.momscigars.com/products/herrera-esteli-norteno,Drew Estate,Herrera Esteli Norteno,6.5x44,25,169.99
smokeinn,Smoke Inn,https://www.smokeinn.com/Drew-Estate-Herrera-Esteli-Norteno/,Drew Estate,Herrera Esteli Norteno,6.5x44,25,224.95
bighumidor,Big Humidor,https://www.bighumidor.com/index.cfm?ref=80200&ref2=6377,Drew Estate,Herrera Esteli Norteno,6.5x44,25,211.95
nickscigarworld,Nick's Cigar World,https://nickscigarworld.com/shop/premium-cigars/herrera-esteli-norteno/herrera-esteli-norteno-lonsdale-deluxe/,Drew Estate,Herrera Esteli Norteno,6.5x44,25,215.95
ci,Cigars International,https://www.cigarsinternational.com/p/padron-1964-anniversary-series-maduro/2035410/,Padron,1964 Anniversary,7x50,25,455
neptune,Neptune Cigar,https://www.neptunecigar.com/cigars/padron-1964-anniversary-diplomatico-maduro,Padron,1964 Anniversary,7x50,25,435
holts,Holt's Cigar Company,https://www.holts.com/cigars/all-cigar-brands/padron-1964-anniversary.html,Padron,1964 Anniversary,7x50,25,455
cubancrafters,Cuban Crafters,https://cubancrafters.com/padron-diplomatico-maduro-1964/,Padron,1964 Anniversary,7x50,25,477.95
jr,JR Cigar,https://www.jrcigars.com/item/padron-1964-anniversary-series/diplomatico-maduro/PD64D3.html,Padron,1964 Anniversary,7x50,25,477.99
nickscigarworld,Nick's Cigar World,https://nickscigarworld.com/shop/premium-cigars/padron-1964-anniversary-series/padron-1964-anniversario-diplomatico-maduro/,Padron,1964 Anniversary,7x50,25,455
cigarcountry,Cigar Country,https://cigarcountry.com/product/padron-1964-anniversary-series-diplomatico-maduro/,Padron,1964 Anniversary,7x50,25,425
casademontecristo,Casa de Montecristo,https://www.casademontecristo.com/item/padron-1964-anniversary-series/diplomatico-maduro/PD64D3.html,Padron,1964 Anniversary,7x50,25,455
cigarplace,Cigar Place,https://www.cigarplace.biz/padron-1964-diplomatico-maduro.html,Padron,1964 Anniversary,7x50,25,431.95
mikescigars,Mike's Cigars,https://mikescigars.com/padron-1964-anniversary-diplomatico-churchill-pd64di3,Padron,1964 Anniversary,7x50,25,455
abcfws,ABC Fine Wine & Spirits,https://abcfws.com/cigars/padron-1964-anniversary-series-maduro-diplomatico-churchill/684271?srsltid=AfmBOor5XPK36rKJ8G5SbPZatR9p3w0I5hEJOPybCVUWt487-AEWqeTt,Padron,1964 Anniversary,7x50,25,404.79
atlantic,Atlantic Cigar,https://atlanticcigar.com/padron-1964-anniversary-diplomatico-maduro/,Padron,1964 Anniversary,7x50,25,455
cigarcellarofmiami,Cigar Cellar of Miami,https://cigarcellarofmiami.com/product/padron-1964-aniversario-diplomatico-maudro-25-ct-box/,Padron,1964 Anniversary,7x50,25,422.50
cccrafter,cccrafter.com,https://cccrafter.com/padron-1964-anniversary-diplomat-maduro-50-x-7/?srsltid=AfmBOoqmfxYjt_zyqODJzl-gc0i30buBieA2-cTZN1VW8KyFwSmAR_I5,Padron,1964 Anniversary,7x50,25,399
twoguys,Two Guys Cigars,https://www.2guyscigars.com/padron-ani-diplomatico-mad-160135/,Padron,1964 Anniversary,7x50,25,454.99
famous,Famous Smoke Shop,https://www.famous-smoke.com/brand/padron-1964-anniversary-maduro-cigars/padron-1964-anniversary-maduro-diplomatico-cigars,Padron,1964 Anniversary,7x50,25,455
thompson,Thompson Cigar,https://www.thompsoncigar.com/p/padron-1964-aniversario-diplomatico-maduro/72992/,Padron,1964 Anniversary,7x50,25,455
santamonicacigars,Santa Monica Cigars,https://santamonicacigars.com/products/padron-1964-anniversary-diplomatico-maduro?srsltid=AfmBOorOXnn699ir9_Z2togOS2M3PDUCjmrTYfX1KEZdBVrKY-r0J5IT,Padron,1964 Anniversary,7x50,25,875
cigar,Cigar.com,https://www.cigar.com/p/padron-1964-anniversary-series-cigars/1474728/,Padron,1964 Anniversary,7x50,25,455
watchcity,Watch City Cigar,https://watchcitycigar.com/padron-1964-anniversary-series-diplomatico-maduro-50-x-7/,Padron,1964 Anniversary,7x50,25,409.50
lmcigars,LM Cigars,https://lmcigars.com/product/padron-1964-anniversary-series-diplomatico-maduro/?srsltid=AfmBOopwcB9QPlgrkCuI0VsJJPLkH6ewBUF9OYA15ItFeoDYtYHyBHZX,Padron,1964 Anniversary,7x50,25,455
hilands,Hiland's Cigars,https://www.hilandscigars.com/shop/cigars/padron/padron-1964-anniversary-series/padron-1964-anniversary-diplomatico-maduro/,Padron,1964 Anniversary,7x50,25,439.98
corona,Corona Cigar,https://www.coronacigar.com/padron-anniversary-1964-natural-diplomatic/?srsltid=AfmBOor1rLGxXsO-IabS8EDyPJ1VzW9AXKdrs998OexCOHqCGVnEr-f4,Padron,1964 Anniversary,7x50,25,455
cigarking,Cigar King,https://www.cigarking.com/copy-of-padron-1964-diplomatico-maduro-7x50-box-25-lmr3/,Padron,1964 Anniversary,7x50,25,454.95
abcfws,ABC Fine Wine & Spirits,https://abcfws.com/cigars/padron-1964-anniversary-series-maduro-diplomatico-churchill/684271?srsltid=AfmBOor5XPK36rKJ8G5SbPZatR9p3w0I5hEJOPybCVUWt487-AEWqeTt,Padron,1964 Anniversary,7x50,25,404.79
