brand,line,wrapper,vitola_name,length_in,ring,box_qty,shape,size_display,origin,pack_type,strength,product_slug
Padron,1964 Anniversary,Maduro,Diplomatico,7.0,50,25,box-pressed,7x50,Nicaragua,box,full,padron-1964-anniversary-maduro-diplomatico-7-0x50-25
Padron,1964 Anniversary,Natural,Diplomatico,7.0,50,25,box-pressed,7x50,Nicaragua,box,full,padron-1964-anniversary-natural-diplomatico-7-0x50-25
