cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|CORONAVIVA|CORONAVIVA|6x46|CON|BOX24,Corona Viva,https://www.smokeinn.com/Liga-Privada-No.-9-Corona-Viva.html,Drew Estate,Liga Privada No. 9,Connecticut Broadleaf Oscuro,Corona Viva,6x46,24,349.95,True,$297.46 [15% off]|SI15
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|CORONAVIVA|CORONAVIVA|5.625x46|SAN|BOX25,Corona Viva,https://www.smokeinn.com/Drew-Estate-Undercrown-Corona-Viva.html,Drew Estate,Undercrown Maduro,San Andres,Corona Viva,5.625x46,25,188.5,True,$160.22 [15% off]|SI15
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|ROBUSTO|ROBUSTO|5x54|SAN|BOX25,Robusto,https://www.smokeinn.com/Drew-Estate-Undercrown-Robusto.html,Drew Estate,Undercrown Maduro,San Andres,Robusto,5x54,25,198.95,True,$169.11 [15% off]|SI15
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|GRANTORO|GRANTORO|6x52|SAN|BOX25,Gran Toro,https://www.smokeinn.com/Drew-Estate-Undercrown-Gran-Toro.html,Drew Estate,Undercrown Maduro,San Andres,Gran Toro,6x52,25,214.95,True,$182.71 [15% off]|SI15
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|CORONADOBLE|CORONADOBLE|7x54|SAN|BOX25,Corona Doble,https://www.smokeinn.com/Drew-Estate-Undercrown-Corona-Double-123.html,Drew Estate,Undercrown Maduro,San Andres,Corona Doble,7x54,25,245.95,False,$209.06 [15% off]|SI15
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|GORDITO|GORDITO|6x60|SAN|BOX25,Gordito,https://www.smokeinn.com/Drew-Estate-Undercrown-Gordito.html,Drew Estate,Undercrown Maduro,San Andres,Gordito,6x60,25,259.95,True,$220.96 [15% off]|SI15
OLIVA|OLIVA|SERIEV|BELICOSO|BELICOSO|5.5x54|ECU|BOX24,Belicoso,https://www.smokeinn.com/oliva-serie-v/oliva-serie-v-belicoso-natural.html,Oliva,Serie V,Ecuadorian Habano,Belicoso,5.5x54,24,248.95,True,$211.61 [15% off]|SI15
OLIVA|OLIVA|SERIEV|TORPEDO|TORPEDO|6.5x52|ECU|BOX24,Torpedo,https://www.smokeinn.com/oliva-serie-v/oliva-serie-v-torpedo-natural.html,Oliva,Serie V,Ecuadorian Habano,Torpedo,6.5x52,24,296.95,True,$252.41 [15% off]|SI15
OLIVA|OLIVA|SERIEV|DOUBLEROBUSTO|DOUBLEROBUSTO|5x54|ECU|BOX24,Double Robusto,https://www.smokeinn.com/oliva-serie-v/oliva-serie-v-double-robusto-natural.html,Oliva,Serie V,Ecuadorian Habano,Double Robusto,5x54,24,248.95,True,$211.61 [15% off]|SI15
OLIVA|OLIVA|SERIEV|CHURCHILLEXTRA|CHURCHILLEXTRA|7x48|ECU|BOX24,Churchill Extra,https://www.smokeinn.com/oliva-serie-v/oliva-serie-v-churchill-xtra-natural.html,Oliva,Serie V,Ecuadorian Habano,Churchill Extra,7x48,24,316.95,True,$269.41 [15% off]|SI15
OLIVA|OLIVA|SERIEV|DOUBLETORO|DOUBLETORO|6x60|ECU|BOX24,Double Toro,https://www.smokeinn.com/oliva-serie-v/oliva-serie-v-double-toro-natural.html,Oliva,Serie V,Ecuadorian Habano,Double Toro,6x60,24,307.95,True,$261.76 [15% off]|SI15
OLIVA|OLIVA|SERIEG|ROBUSTO|ROBUSTO|4.5x50|CAM|BOX25,Robusto,https://www.smokeinn.com/Oliva-Serie-G-Robusto-Cameroon-5-Pack.html,Oliva,Serie G,Cameroon,Robusto,4.5x50,25,174.95,True,$148.71 [15% off]|SI15
OLIVA|OLIVA|SERIEG|TORO|TORO|6x50|CAM|BOX25,Toro,https://www.smokeinn.com/Oliva-Serie-G-Toro-Cameroon.html,Oliva,Serie G,Cameroon,Toro,6x50,25,182.95,True,$155.51 [15% off]|SI15
OLIVA|OLIVA|SERIEG|CHURCHILL|CHURCHILL|7x48|CAM|BOX25,Churchill,https://www.smokeinn.com/Oliva-Serie-G-Churchill-Cameroon-15698.html,Oliva,Serie G,Cameroon,Churchill,7x48,25,182.95,True,$155.51 [15% off]|SI15
