cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock
ROMEOYJULIETA|ROMEOYJULIETA|1875|CHURCHILL|CHURCHILL|7x50|CAM|BOX25,Churchill,https://www.gothamcigars.com/romeo-y-julieta-1875-churchill/,Romeo y Julieta,1875,Indonesian Shade Grown TBN,Churchill,7x50,25,184.99,True
MYFATHER|MYFATHER|THEJUDGE|GRANDROBUSTO|GRANDROBUSTO|5.625x60|CAM|BOX23,Grand Robusto,https://www.gothamcigars.com/my-father-mf-the-judge-grande-robusto/,My Father,The Judge,Ecuadorian Sumatra Oscuro,Grand Robusto,5.625x60,23,264.99,True
COHIBA|REDDOT|ROBUSTO|ROBUSTO|5x49|CAM|BOX25,nan,https://www.gothamcigars.com/cohiba-red-dot-robusto/,Cohiba,Red Dot,Cameroon,Robusto,5x49,25,409.99,True
