cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Arturo Fuente Hemingway 7x48 (Box of 25),Arturo Fuente Hemingway 7x48 (Box of 25),https://www.tampasweethearts.com/hemingwayclassic.aspx,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,273.95,True
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,,https://www.tampasweethearts.com/Hemingwaybestseller.aspx
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CT|BOX25,,https://www.tampasweethearts.com/hemingwaybestsellermaduro.aspx
