title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock
Drew Estate Herrera Esteli Norteno 6.5x44 Box of 25,https://secretocigarbar.com/products/herrera-norteno-lonsdale,Drew Estate,Herrera Esteli Norteno,Mexican San Andres,Lonsdale Deluxe,6.5x44,25,235.00,true
Fuente Fuente OpusX Robusto (Box of 29),https://secretocigarbar.com/products/f-f-opusx-robusto-29,Arturo Fuente,Opus X,Dominican Rosado,Robusto,5.25x50,29,949,true
