title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock
Arturo Fuente Hemingway 7x48 (Box of 25),https://atlanticcigar.com/arturo-fuente-hemingway-classic-natural/,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,272.95,true
Hoyo de Monterrey Excalibur 5.2x50 Box of 20,https://atlanticcigar.com/hoyo-de-monterrey-excalibur-epicures-natural/,Hoyo de Monterrey,Excalibur,Connecticut Shade,Epicure,5.2x50,20,136.85,true
Padron 1964 Anniversary 7x50 Box of 25,https://atlanticcigar.com/padron-1964-anniversary-diplomatico-maduro/,Padron,1964 Anniversary,Maduro,Diplomatico,7x50,25,455.0,true
Romeo y Julieta 1875 Churchill,https://atlanticcigar.com/romeo-y-julieta-1875-churchill/,Romeo y Julieta,1875,Indonesian Shade Grown TBN,Churchill,7 x 50,25,174.04,true
My Father The Judge Grand Robusto Box-Pressed,https://atlanticcigar.com/my-father-the-judge-grand-robusto-box-pressed/,My Father,The Judge,Ecuadorian Sumatra Oscuro,Grand Robusto,5x60,0,0.00,false
