title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock
Hoyo de Monterrey Excalibur 5.2x50 Box of 20,https://www.cigarplace.biz/excalibur-natural-epicure.html,Hoyo de Monterrey,Excalibur,Connecticut Shade,Epicure,5.2x50,20,139.95,true
Drew Estate Herrera Esteli Norteno 6.5x44 Box of 25,https://www.cigarplace.biz/all-brands/herrera-esteli-cigars/herrera-esteli-norteno.html,Drew Estate,Herrera Esteli Norteno,Mexican San Andres Maduro,Lonsdale,6.5x44,25,183.95,false
Padron 1964 Anniversary 7x50 Box of 25,https://www.cigarplace.biz/padron-1964-diplomatico-maduro.html,Padron,1964 Anniversary,Maduro,Diplomatico,7x50,25,431.95,true
Romeo y Julieta 1875 Churchill,https://www.cigarplace.biz/romeo-y-julieta-1875-churchill.html?152=4517,Romeo y Julieta,1875,Indonesian Shade Grown TBN,Churchill,7 x 50,25,176.95,True
Fuente Fuente OpusX Robusto (Box of 29),https://www.cigarplace.biz/arturo-fuente-opus-x-robusto.html,Arturo Fuente,OpusX,Dominican,Robusto,5.25x50,29,667.95,false
