cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
HOYODEMONTERREY|HOYODEMONTERREY|EXCALIBUR|EPICURE|EPICURE|5.25x50|CT|BOX20,Epicure,https://tobaccolocker.com/collections/general/products/hoyo-de-monterrey-excalibur-epicures-natural-cigar?variant=44034520219822,Hoyo de Monterrey,Excalibur,Connecticut Shade,Epicure,5.25x50,20,135.35,True,
ASHTON|ASHTON|VSG|ROBUSTO|ROBUSTO|5.5x50|ECU|BOX24,Robusto,https://tobaccolocker.com/products/ashton-vsg-robusto-cigars-box-of-24?variant=44034447769774,Ashton,VSG,Ecuadorian Sun Grown,Robusto,5.5x50,24,338.0,True,
MYFATHER|MYFATHER|THEJUDGE|GRANDROBUSTO|GRANDROBUSTO|5.625x60|ECU|BOX23,Grand Robusto,https://tobaccolocker.com/products/my-father-the-judge-grand-robusto?variant=44025912000686,My Father,The Judge,Ecuadorian Sumatra Oscuro,Grand Robusto,5.625x60,23,274.95,True,
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|MAD|BOX25,Diplomatico,https://tobaccolocker.com/products/padron-1964-diplomatico-maduro-cigars-box-of-25?variant=44022962913454,Padron,1964 Anniversary,Maduro,Diplomatico,7x50,25,455.0,True,
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|ECU|BOX25,Epicure,https://tobaccolocker.com/products/perdomo-reserve-10-year-anniversary-epicure-champ4?variant=44026060636334,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Epicure,6x54,25,248.9,True,
FOUNDATION|OLMEC|OLMEC|TORO|TORO|6x52|MAD|BOX12,Maduro Toro,https://tobaccolocker.com/products/olmec-maduro-toro-cigars?variant=43979143807150,Foundation,Olmec,Maduro,Toro,6x52,12,160.92,True,
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|MAD|BOX25,Exclusivo,https://tobaccolocker.com/products/padron-1964-exclusivo-maduro-cigars?variant=44022962815150,Padron,1964 Anniversary,Maduro,Exclusivo,5.5x50,25,397.5,True,
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|NAT|BOX25,Principe,https://tobaccolocker.com/products/padron-1964-principe-natural-cigars?variant=44022961045678,Padron,1964 Anniversary,Natural,Principe,4.5x46,25,340.0,True,
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|MAD|BOX25,Principe,https://tobaccolocker.com/products/padron-1964-principe-maduro-cigars-box-of-25?variant=44022961078446,Padron,1964 Anniversary,Maduro,Principe,4.5x46,25,340.0,True,
PADRON|PADRON|1926SERIE|NO.9|NO.9|5.25x56|NAT|BOX24,No. 9,https://tobaccolocker.com/products/padron-1926-no9-natural-cigars?variant=44054291873966,Padron,1926 Serie,Natural,No. 9,5.25x56,24,574.8,True,
PADRON|PADRON|1926SERIE|NO.9|NO.9|5.25x56|MAD|BOX24,No. 9,https://tobaccolocker.com/products/padron-1926-no9-maduro-cigars?variant=44022964060334,Padron,1926 Serie,Maduro,No. 9,5.25x56,24,574.8,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,Signature,https://tobaccolocker.com/products/arturo-fuente-hemingway-signature-cigars-box-of-25?variant=44022943154350,Arturo Fuente,Hemingway,Cameroon,Signature,6x46,25,251.21,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://tobaccolocker.com/products/arturo-fuente-hemingway-short-story-cigars-box-of?variant=44022943252654,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,169.45,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|MAD|BOX25,Short Story,https://tobaccolocker.com/products/arturo-fuente-short-story-maduro-cigars?variant=44022943219886,Arturo Fuente,Hemingway,Maduro,Short Story,4x49,25,265.0,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|CAM|BOX25,Work of Art,https://tobaccolocker.com/products/arturo-fuente-hemingway-work-of-art-cigars?variant=44022943449262,Arturo Fuente,Hemingway,Cameroon,Work of Art,4.875x60,25,266.76,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|MAD|BOX25,Work of Art,https://tobaccolocker.com/products/arturo-fuente-hemingway-work-of-art-maduro-cig-box?variant=44022943416494,Arturo Fuente,Hemingway,Maduro,Work of Art,4.875x60,25,266.76,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BETWEENTHELINES|BETWEENTHELINES|4.5x54|CAM|BOX25,Between the Lines,https://tobaccolocker.com/products/arturo-fuente-hemingway-between-the-lines-cigars?variant=44022943285422,Arturo Fuente,Hemingway,Cameroon,Between the Lines,4.5x54,25,575.0,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,Best Seller,https://tobaccolocker.com/products/arturo-fuente-hemingway-best-seller-cigars?variant=43601825366190,Arturo Fuente,Hemingway,Cameroon,Best Seller,4.5x55,25,198.27,True,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|ROBUSTO|ROBUSTO|5.25x50|DOM|BOX29,Robusto,https://tobaccolocker.com/products/opus_x_robusto_cigars?variant=44022945382574,Arturo Fuente,Opus X,Dominican Rosado,Robusto,5.25x50,29,1235.95,True,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|SUPERBELICOSO|SUPERBELICOSO|5.5x52|DOM|BOX29,Super Belicoso,https://tobaccolocker.com/products/opus_x_super_belicoso_cigars?variant=44022945120430,Arturo Fuente,Opus X,Dominican Rosado,Super Belicoso,5.5x52,29,1059.95,True,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|BELICOSOXXX|BELICOSOXXX|4.625x49|DOM|BOX42,Belicoso XXX,https://tobaccolocker.com/products/opus_x_belicoso_xxx_cigars?variant=44022945677486,Arturo Fuente,Opus X,Dominican Rosado,Belicoso XXX,4.625x49,42,1205.85,False,
ASHTON|ASHTON|VSG|ENCHANTMENT|ENCHANTMENT|5.5x48|ECU|BOX22,Enchantment,https://tobaccolocker.com/products/ashton-vsg-enchantment-cigars-box-of-22?variant=44034447868078,Ashton,VSG,Ecuadorian Sun Grown,Enchantment,5.5x48,22,341.55,True,
ASHTON|ASHTON|VSG|SPELLBOUND|SPELLBOUND|6x50|ECU|BOX24,Spellbound,https://tobaccolocker.com/products/ashton-vsg-spellbound-cigars-box-of-24?variant=44034447737006,Ashton,VSG,Ecuadorian Sun Grown,Spellbound,6x50,24,426.6,True,
ASHTON|ASHTON|VSG|WIZARD|WIZARD|7x52|ECU|BOX37,Wizard,https://tobaccolocker.com/products/ashton-vsg-wizard-cigars-box-of-37?variant=44034447605934,Ashton,VSG,Ecuadorian Sun Grown,Wizard,7x52,37,619.38,True,
ASHTON|ASHTON|VSG|ILLUSION|ILLUSION|6x54|ECU|BOX24,Illusion,https://tobaccolocker.com/products/ashton-vsg-illusion-cigars-box-of-24?variant=44034447835310,Ashton,VSG,Ecuadorian Sun Grown,Illusion,6x54,24,396.6,True,
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|ROBUSTO|ROBUSTO|5x54|CON|BOX24,Robusto,https://tobaccolocker.com/products/liga-privada-no9-robusto-cigars?variant=43602206490798,Drew Estate,Liga Privada No. 9,Connecticut Broadleaf Oscuro,Robusto,5x54,24,376.2,True,
