cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
CAO|CAO|FLATHEAD|V450SPARKPLUG|V450SPARKPLUG|4.5x50|CT|BOX24,V450 Sparkplug,https://www.neptunecigar.com/cigars/cao-flathead-v450-sparkplug,CAO,Flathead,Connecticut Broadleaf,V450 Sparkplug,4.5x50,24,177.95,True,$145.92 [18% off]|SANTA25
MACANUDO|MACANUDO|CAFE|HYDEPARK|HYDEPARK|5.5x49|CT|BOX25,Hyde Park,https://www.neptunecigar.com/cigars/macanudo-cafe-hyde-park,Macanudo,Cafe,Connecticut Shade,Hyde Park,5.5x49,25,224.95,True,$184.46 [18% off]|SANTA25
MACANUDO|MACANUDO|CAFE|HAMPTONCOURT|HAMPTONCOURT|5.25x42|CT|BOX25,Hampton Court,https://www.neptunecigar.com/cigars/macanudo-cafe-hampton-court,Macanudo,Cafe,Connecticut Shade,Hampton Court,5.25x42,25,215.95,True,$177.08 [18% off]|SANTA25
MACANUDO|MACANUDO|CAFE|PORTOFINO|PORTOFINO|7x34|CT|BOX25,Portofino,https://www.neptunecigar.com/cigars/macanudo-cafe-portofino,Macanudo,Cafe,Connecticut Shade,Portofino,7x34,25,231.95,True,$190.20 [18% off]|SANTA25
MACANUDO|MACANUDO|CAFE|BARONDEROTHSCHILD|BARONDEROTHSCHILD|6.5x42|CT|BOX25,Baron de Rothschild,https://www.neptunecigar.com/cigars/macanudo-cafe-baron-de-rothschild,Macanudo,Cafe,Connecticut Shade,Baron de Rothschild,6.5x42,25,226.95,True,$186.10 [18% off]|SANTA25
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|CORONAVIVA|CORONAVIVA|5.625x46|SAN|BOX25,Corona Viva,https://www.neptunecigar.com/cigars/liga-undercrown-maduro-corona-viva,Drew Estate,Undercrown Maduro,San Andres,Corona Viva,5.625x46,25,189.75,True,$155.59 [18% off]|SANTA25
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|CORONADOBLE|CORONADOBLE|7x54|SAN|BOX25,Corona Doble,https://www.neptunecigar.com/cigars/liga-undercrown-maduro-corona-doble,Drew Estate,Undercrown Maduro,San Andres,Corona Doble,7x54,25,247.15,True,$202.66 [18% off]|SANTA25
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|ROBUSTO|ROBUSTO|5x54|SAN|BOX25,Robusto,https://www.neptunecigar.com/cigars/liga-undercrown-maduro-robusto,Drew Estate,Undercrown Maduro,San Andres,Robusto,5x54,25,200.0,True,$164.00 [18% off]|SANTA25
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|GRANTORO|GRANTORO|6x52|SAN|BOX25,Gran Toro,https://www.neptunecigar.com/cigars/liga-undercrown-maduro-gran-toro,Drew Estate,Undercrown Maduro,San Andres,Gran Toro,6x52,25,216.4,True,$177.45 [18% off]|SANTA25
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|GORDITO|GORDITO|6x60|SAN|BOX25,Gordito,https://www.neptunecigar.com/cigars/liga-undercrown-maduro-gordito,Drew Estate,Undercrown Maduro,San Andres,Gordito,6x60,25,261.5,True,$214.43 [18% off]|SANTA25
COHIBA||REDDOT|ROBUSTO|ROBUSTO|5x49|CAM|BOX25,Robusto,https://www.neptunecigar.com/cigars/cohiba-robusto,Cohiba,Red Dot,Cameroon,Robusto,5x49,25,464.95,True,$381.26 [18% off]|SANTA25
COHIBA||REDDOT|CHURCHILL|CHURCHILL|7x49|CAM|BOX25,Churchill,https://www.neptunecigar.com/cigars/cohiba-churchill,Cohiba,Red Dot,Cameroon,Churchill,7x49,25,509.95,True,$418.16 [18% off]|SANTA25
OLIVA|OLIVA|SERIEG|ROBUSTO|ROBUSTO|4.5x50|CAM|BOX25,Robusto,https://www.neptunecigar.com/cigars/oliva-serie-g-robusto,Oliva,Serie G,Cameroon,Robusto,4.5x50,25,153.0,True,$125.46 [18% off]|SANTA25
OLIVA|OLIVA|SERIEG|TORO|TORO|6x50|CAM|BOX25,Toro,https://www.neptunecigar.com/cigars/oliva-serie-g-toro,Oliva,Serie G,Cameroon,Toro,6x50,25,157.25,True,$128.95 [18% off]|SANTA25
OLIVA|OLIVA|SERIEG|CHURCHILL|CHURCHILL|7x48|CAM|BOX25,Churchill,https://www.neptunecigar.com/cigars/oliva-serie-g-churchill,Oliva,Serie G,Cameroon,Churchill,7x48,25,163.7,True,$134.23 [18% off]|SANTA25
OLIVA|OLIVA|SERIEG|DOUBLEROBUSTO|DOUBLEROBUSTO|5x54|CAM|BOX25,Double Robusto,https://www.neptunecigar.com/cigars/oliva-serie-g-double-robusto,Oliva,Serie G,Cameroon,Double Robusto,5x54,25,178.65,True,$146.49 [18% off]|SANTA25
CROWNEDHEADS|JERICHOHILL|JERICHOHILL|OBS|OBS|4.75x52|MAD|BOX24,,https://www.neptunecigar.com/cigars/crowned-heads-jericho-hill-obs
