title,url,brand,line,size,box_qty,price,in_stock
"Caldwell Collection - The King Is Dead Supreme (7.5"""" x 52)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fcaldwell%2Fcaldwell-collection---the-king-is-dead%2FCW2-PM.html,Caldwell,"""Caldwell Collection - The King Is Dead Supreme","7.5"" x 52",20,253.99,False
"RoMa Craft CroMagnon Mandible Petite Gordo (4.5"""" x 60)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Froma-craft%2Froma-craft-cromagnon%2FRC1-PM.html,RoMa Craft Tabac,"""RoMa Craft CroMagnon Mandible Petite","4.5"" x 60",20,253.99,False
"Ashton Cigars Panatela (6.0"""" x 36)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fashton%2Fashton-cigars%2FAHA-PM.html,Ashton,"""Ashton Cigars Panatela","6.0"" x 36",20,253.99,False
"La Aroma de Cuba Reserva Beso (5.6"""" x 48)",https://www.kqzyfj.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fla-aroma-de-cuba%2Fla-aroma-de-cuba-mi-amor-reserva%2F6BE-PM.html,La Aroma de Cuba,"""La Aroma de Cuba Reserva Beso","5.6"" x 48",20,253.99,True
"Drew Estate 20 Acre Farm Toro (6.0"""" x 52)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Fdrew-estate-cigars%2Fdrew-estate-20-acre-farm%2F2AF-PM-1003.html,20 Acre Farm,"""Drew Estate 20 Acre Farm","6.0"" x 52",20,253.99,True
"AVO XO Maestoso (7.0"""" x 48)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Favo-cigars%2Favo-xo%2FAV4-PM.html,AVO,"""AVO XO Maestoso","7.0"" x 48",20,253.99,True
"Room101 FARCE Connecticut Churchill (7.0"""" x 48)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Froom101-cigars%2Ffarce-connecticut%2FRMB-PM.html,Room101,"""Room101 FARCE Connecticut","7.0"" x 48",20,253.99,True
"Crowned Heads La Imperiosa Dukes (5.5"""" x 54)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fcrowned-heads%2Fcrowned-heads-la-imperiosa%2FFK8-PM.html,Crowned Heads,"""Crowned Heads La Imperiosa Dukes","5.5"" x 54",20,253.99,True
"Viaje Skull and Bones M?stery (2015) (4.5"""" x 56)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Ffeatured-categories%2Flimited-edition%2Fviaje-skull-and-bones%2FVJH-PM-1052.html,Viaje,"""Viaje Skull and Bones M?stery (2015)","4.5"" x 56",20,254.0,False
"Mi Querida Gorila Gordo (6.0"""" x 60)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdunbarton-tobacco-%26-trust%2Fmi-querida%2FMIQ-PM.html,Mi Querida,"""Mi Querida Gorila","6.0"" x 60",20,254.99,False
