title,url,brand,line,size,box_qty,price,in_stock
"ACID Cigars by Drew Estate Shorty (4.5"""" x 60)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Facid-cigars%2Facid-cigars-by-drew-estate%2FAIA-PM.html,ACID,"""ACID Cigars by Drew Estate Shorty","4.5"" x 60",20,80.0,False
"Tatuaje Havana VI Nobles (5.0"""" x 50)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Ftatuaje%2Ftatuaje-havana-vi%2F3UB-PM.html,Tatuaje,"""Tatuaje Havana VI Nobles","5.0"" x 50",20,80.0,False
"Drew Estate Undercrown Maduro Manifesto (11.0"""" x 38)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdrew-estate%2Fdrew-estate-undercrown-maduro%2FLPE-PM.html,Undercrown by Drew Estate,"""Drew Estate Undercrown Maduro Manifesto","11.0"" x 38",20,80.0,False
"Davidoff Nicaragua Mini Cigarillos (3.5"""" x 20)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdavidoff%2Fdavidoff-nicaragua%2FDVP-PM.html,Davidoff,"""Davidoff Nicaragua Mini Cigarillos","3.5"" x 20",20,80.0,False
"Davidoff Nicaragua Robusto (Tubos) (5.0"""" x 50)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdavidoff%2Fdavidoff-nicaragua%2FDVP-PM.html,Davidoff,"""Davidoff Nicaragua","5.0"" x 50",20,81.6,True
"Don Pepin Garcia Blue Exclusivos (9.2"""" x 48)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fmy-father%2Fdon-pepin-garcia-blue%2FJXA-PM.html,Don Pepin Garcia,"""Don Pepin Garcia Blue Exclusivos","9.2"" x 48",20,81.99,False
"Montecristo White Label Toro (6.0"""" x 54)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fmontecristo%2Fmontecristo-white-label%2FWMA-PM.html,Montecristo,"""Montecristo White Label","6.0"" x 54",20,81.99,True
"Espinosa Habano No. 4 (5.5"""" x 50)",https://www.kqzyfj.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fespinosa%2Fespinosa-habano%2FESP-PM.html,Espinosa,"""Espinosa Habano No. 4","5.5"" x 50",20,81.99,True
"Rocky Patel Decade Cigars Emperor (6.0"""" x 60)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Frocky-patel%2Frocky-patel-decade-cigars%2FILB-PM.html,Rocky Patel,"""Rocky Patel Decade Cigars Emperor","6.0"" x 60",20,81.99,False
"RoMa Craft CroMagnon Aquitaine Slobberknocker LE (7.5"""" x 56)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Froma-craft%2Froma-craft-cromagnon-aquitaine%2FRC2-PM.html,RoMa Craft Tabac,"""RoMa Craft CroMagnon Aquitaine Slobberknocker LE","7.5"" x 56",20,81.99,False
"Ashton Cigars Crystal Belicoso (6.0"""" x 49)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fashton%2Fashton-cigars%2FAHA-PM.html,Ashton,"""Ashton Cigars Crystal","6.0"" x 49",20,81.99,False
"Plasencia Alma del Fuego Candente (5.0"""" x 50)",https://www.kqzyfj.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fplacensia-1865%2Fplasencia-alma-del-fuego%2FNPF-PM.html,Plasencia,"""Plasencia Alma del Fuego Candente","5.0"" x 50",20,81.99,False
"Ashton Symmetry Belicoso (5.2"""" x 52)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fashton%2Fashton-symmetry%2FAHD-PM.html,Ashton,"""Ashton Symmetry","5.2"" x 52",20,81.99,False
"CAO Colombia Magdalena (Torpedo) (6.2"""" x 54)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fcao%2Fcao-colombia%2FCOL-PM.html,CAO,"""CAO Colombia Magdalena (","6.2"" x 54",20,81.99,False
"CAO Colombia Tinto (4.8"""" x 52)",https://www.kqzyfj.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fcao%2Fcao-colombia%2FCOL-PM.html,CAO,"""CAO Colombia Tinto","4.8"" x 52",20,81.99,True
"Caldwell Collection - Eastern Standard Cakewalk (6.0"""" x 50)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fcaldwell%2Fcaldwell-collection---eastern-standard%2FCW1-PM.html,Caldwell,"""Caldwell Collection - Eastern Standard Cakewalk","6.0"" x 50",20,81.99,False
"Don Pepin Garcia Cuban Classic 1979 (5.0"""" x 50)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fmy-father%2Fdon-pepin-garcia-cuban-classic%2FYJA-PM.html,Don Pepin Garcia,"""Don Pepin Garcia Cuban Classic 1979","5.0"" x 50",20,81.99,True
"CAO Brazilia Lambada (6.0"""" x 50)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fcao%2Fcao-brazilia%2FOBA-PM.html,CAO,"""CAO Brazilia Lambada","6.0"" x 50",20,81.99,False
"Man O' War Robusto (5.5"""" x 50)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Faj-fernandez%2Fman-o%27-war%2FMWB-PM.html,Man O' War,"""Man O' War","5.5"" x 50",20,81.99,True
"Drew Estate Undercrown Maduro Corona Viva (5.6"""" x 46)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdrew-estate%2Fdrew-estate-undercrown-maduro%2FLPE-PM.html,Undercrown by Drew Estate,"""Drew Estate Undercrown Maduro","5.6"" x 46",20,81.99,False
"Plasencia Alma Del Campo Tribu - Robusto (5.0"""" x 52)",https://www.kqzyfj.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fplacensia-1865%2Fplasencia-alma-del-campo%2FNPA-PM.html,Plasencia,"""Plasencia Alma Del Campo Tribu","5.0"" x 52",20,81.99,True
"Liga Privada Unico Serie Papas Fritas (4.5"""" x 44) - cellophane",https://www.kqzyfj.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdrew-estate%2Fliga-privada-unico-serie%2FLPD-PM.html,Liga Privada by Drew Estate,"""Liga Privada Unico Serie Papas Fritas","4.5"" x 44",20,81.99,False
"Ashton VSG Cigars Enchantment (Perfecto) (4.3"""" x 60)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fashton%2Fashton-vsg-cigars%2FA4A-PM.html,Ashton,"""Ashton VSG Cigars Enchantment (","4.3"" x 60",20,81.99,False
"Aladino Corojo Reserva Figurado Reserva (6.2"""" x 54)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fcountry-of-origin%2Fhonduran%2Faladino-corojo-reserva%2FAA1-PM.html,Aladino,"""Aladino Corojo Reserva","6.2"" x 54",20,81.99,False
"Oliva Serie 'V' Melanio Toro (6.0"""" x 52)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Foliva%2Foliva-serie-%27v%27-melanio%2F1OD-PM.html,Oliva,"""Oliva Serie 'V' Melanio","6.0"" x 52",20,81.99,True
"Montecristo Classic Robusto (5.0"""" x 52)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fmontecristo%2Fmontecristo-classic%2FMTC-PM.html,Montecristo,"""Montecristo Classic","5.0"" x 52",20,81.99,False
"Romeo y Julieta 1875 Cedro Deluxe No.2 (5.5"""" x 44)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fromeo-y-julieta%2Fromeo-y-julieta-1875%2FROA-PM.html,Romeo y Julieta,"""Romeo y Julieta 1875 Cedro Deluxe No.2","5.5"" x 44",20,81.99,False
"Padron 1964 Anniversary Series Hermoso (4.0"""" x 56) - Natural",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fpadron%2Fpadron-1964-anniversary-series%2FK9E-PM.html,Padron,"""Padron 1964 Anniversary Series Hermoso","4.0"" x 56",20,82.0,False
"Davidoff Aniversario Series Special 'R' Tubo (4.8"""" x 50)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdavidoff%2Fdavidoff-aniversario-series%2FDV6-PM.html,Davidoff,"""Davidoff Aniversario Series Special 'R'","4.8"" x 50",20,82.2,False
"Cohiba Nicaragua N5.5x54 (5.5"""" x 54)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fcohiba%2Fcohiba-nicaragua%2FCHF-PM.html,Cohiba,"""Cohiba Nicaragua N5.5x54","5.5"" x 54",20,82.5,False
"ACID Cigars by Drew Estate Krush (4.0"""" x 32) - Red Cameroon",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Facid-cigars%2Facid-cigars-by-drew-estate%2FAIA-PM.html,ACID,"""ACID Cigars by Drew Estate Krush","4.0"" x 32",20,82.99,True
"Drew Estate Liga Privada H99 Robusto (5.0"""" x 54)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Fdrew-estate-cigars%2Fdrew-estate-liga-privada-h99%2FL99-PM-1002.html,Liga Privada by Drew Estate,"""Drew Estate Liga Privada H99","5.0"" x 54",20,82.99,False
"Ashton Symmetry Sublime (6.0"""" x 52)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fashton%2Fashton-symmetry%2FAHD-PM.html,Ashton,"""Ashton Symmetry Sublime","6.0"" x 52",20,82.99,False
"Romeo y Julieta 1875 Bully (5.0"""" x 50)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fromeo-y-julieta%2Fromeo-y-julieta-1875%2FROA-PM.html,Romeo y Julieta,"""Romeo y Julieta 1875 Bully","5.0"" x 50",20,82.99,True
"Deadwood Tobacco Co. Sweet Jane Cigarillos (4.0"""" x 32)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdrew-estate%2Fdeadwood-tobacco-co.%2FDW1-PM.html,Deadwood by Drew Estate,"""Deadwood Tobacco Co. Sweet Jane Cigarillos","4.0"" x 32",20,82.99,True
"Drew Estate Undercrown Connecticut Shade Coronets (4.0"""" x 32)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdrew-estate%2Fdrew-estate-undercrown-connecticut-shade%2FLPF-PM.html,Undercrown by Drew Estate,"""Drew Estate Undercrown Connecticut Shade Coronets","4.0"" x 32",20,82.99,True
"Liga Privada T52 by Drew Estate Robusto (5.0"""" x 54)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdrew-estate%2Fliga-privada-t52-by-drew-estate%2FLPC-PM.html,Liga Privada by Drew Estate,"""Liga Privada T52 by Drew Estate","5.0"" x 54",20,82.99,False
"Drew Estate Tabak Especial Cafecita (4.0"""" x 32) -Negra",https://www.kqzyfj.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Fdrew-estate-cigars%2Fdrew-estate-tabak-especial%2FTEB-PM-1016.html,Tabak Especial by Drew Estate,"""Drew Estate Tabak Especial Cafecita","4.0"" x 32",20,82.99,True
"Drew Estate Liga Privada No. 9 Robusto (5.0"""" x 54)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdrew-estate%2Fdrew-estate-liga-privada-no.-9%2FLPB-PM.html,Liga Privada by Drew Estate,"""Drew Estate Liga Privada No. 9","5.0"" x 54",20,82.99,False
"La Flor Dominicana Air Bender Poderoso (5.5"""" x 44)",https://www.kqzyfj.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fla-flor-dominicana%2Fla-flor-dominicana-air-bender%2FFWD-PM.html,La Flor Dominicana,"""La Flor Dominicana Air Bender Poderoso","5.5"" x 44",20,82.99,False
"Drew Estate Undercrown Maduro Coronets (4.0"""" x 32)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdrew-estate%2Fdrew-estate-undercrown-maduro%2FLPE-PM.html,Undercrown by Drew Estate,"""Drew Estate Undercrown Maduro Coronets","4.0"" x 32",20,82.99,True
"Drew Estate Undercrown Sun Grown Coronets (4.0"""" x 32)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdrew-estate%2Fdrew-estate-undercrown-sun-grown%2FUC1-PM.html,Undercrown by Drew Estate,"""Drew Estate Undercrown Sun Grown Coronets","4.0"" x 32",20,82.99,True
"Umbagog Bronzeback (5.0"""" x 48)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Fdunbarton-tobacco-and-trust-cigars%2Fumbagog%2FUMB-PM-1012.html,Umbagog,"""Umbagog Bronzeback","5.0"" x 48",20,82.99,False
"Sobremesa Solita Red (6.25"""" x 48)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdunbarton-tobacco-%26-trust%2Fsobremesa%2FSBM-PM.html,Sobremesa,"""Sobremesa Solita Red","6.25"" x 48",20,83.99,True
"RoMa Craft Neanderthal Gran Perfecto (5.6"""" x 60)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Froma-craft%2Froma-craft-neanderthal%2FRC6-PM.html,RoMa Craft Tabac,"""RoMa Craft Neanderthal Gran","5.6"" x 60",20,83.99,False
"Sobremesa Brulee Blue (6.25"""" x 46)",https://www.kqzyfj.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Fdunbarton-tobacco-and-trust-cigars%2Fsobremesa-brulee%2FSBN-PM-1001.html,Sobremesa,"""Sobremesa Brulee Blue","6.25"" x 46",20,83.99,False
"New World by AJ Fernandez Gordo (6.0"""" x 58)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Faj-fernandez%2Fnew-world-by-aj-fernandez%2FNWB-PM.html,New World,"""New World by AJ Fernandez","6.0"" x 58",20,83.99,True
"Sin Compromiso Seleccion No. 4 Parejo (5.0"""" x 54)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdunbarton-tobacco-%26-trust%2Fsin-compromiso%2FSIN-PM.html,Sin Compromiso,"""Sin Compromiso Seleccion No. 4 Parejo","5.0"" x 54",20,83.99,False
"RoMa Craft CroMagnon Gran Perfecto LE (5.6"""" x 60)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Froma-craft%2Froma-craft-cromagnon%2FRC1-PM.html,RoMa Craft Tabac,"""RoMa Craft CroMagnon Gran","5.6"" x 60",20,83.99,False
"Arturo Fuente Churchill (7.2"""" x 48) - Natural",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Farturo-fuente%2Farturo-fuente%2FAFA-PM.html,Arturo Fuente,"""Arturo Fuente","7.2"" x 48",20,84.0,False
"Cohiba Nicaragua N5x52 (No Tube) (5.0"""" x 52)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fcohiba%2Fcohiba-nicaragua%2FCHF-PM.html,Cohiba,"""Cohiba Nicaragua N5x52 (No Tube)","5.0"" x 52",20,84.0,True
"Drew Estate Liga Privada No. 9 Corona Doble (7.0"""" x 54) - Cellophane",https://www.kqzyfj.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdrew-estate%2Fdrew-estate-liga-privada-no.-9%2FLPB-PM.html,Liga Privada by Drew Estate,"""Drew Estate Liga Privada No. 9","7.0"" x 54",20,84.05,False
"Drew Estate Liga Privada No. 9 Double Corona (7.0"""" x 52)",https://www.kqzyfj.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdrew-estate%2Fdrew-estate-liga-privada-no.-9%2FLPB-PM.html,Liga Privada by Drew Estate,"""Drew Estate Liga Privada No. 9","7.0"" x 52",20,84.05,False
"Liga Privada T52 by Drew Estate Corona Doble (7.0"""" x 54) - Cellophane",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdrew-estate%2Fliga-privada-t52-by-drew-estate%2FLPC-PM.html,Liga Privada by Drew Estate,"""Liga Privada T52 by Drew Estate","7.0"" x 54",20,84.05,False
"Drew Estate Liga Privada No. 9 Toro (6.0"""" x 52) - Tubo",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdrew-estate%2Fdrew-estate-liga-privada-no.-9%2FLPB-PM.html,Liga Privada by Drew Estate,"""Drew Estate Liga Privada No. 9","6.0"" x 52",20,84.75,False
"Umbagog Short & Fat (4.7"""" x 56)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Fdunbarton-tobacco-and-trust-cigars%2Fumbagog%2FUMB-PM-1012.html,Umbagog,"""Umbagog Short & Fat","4.7"" x 56",20,84.99,False
"Ashton VSG Cigars Torpedo (6.5"""" x 55)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fashton%2Fashton-vsg-cigars%2FA4A-PM.html,Ashton,"""Ashton VSG Cigars","6.5"" x 55",20,84.99,False
"Drew Estate Undercrown Maduro Toro Tubo (6.0"""" x 50)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdrew-estate%2Fdrew-estate-undercrown-maduro%2FLPE-PM.html,Undercrown by Drew Estate,"""Drew Estate Undercrown Maduro","6.0"" x 50",20,84.99,False
"Romeo y Julieta 1875 Rothchilde Tubo (5.0"""" x 50)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fromeo-y-julieta%2Fromeo-y-julieta-1875%2FROA-PM.html,Romeo y Julieta,"""Romeo y Julieta 1875 Rothchilde","5.0"" x 50",20,84.99,False
"Ashton Symmetry Prestige (6.7"""" x 49)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fashton%2Fashton-symmetry%2FAHD-PM.html,Ashton,"""Ashton Symmetry Prestige","6.7"" x 49",20,84.99,False
"CAO Italia Gondola (6.1"""" x 54)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fcao%2Fcao-italia%2FIXA-PM.html,CAO,"""CAO Italia Gondola","6.1"" x 54",20,84.99,False
"Drew Estate Undercrown Connecticut Shade Toro Tubo (6.0"""" x 50)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdrew-estate%2Fdrew-estate-undercrown-connecticut-shade%2FLPF-PM.html,Undercrown by Drew Estate,"""Drew Estate Undercrown Connecticut Shade","6.0"" x 50",20,84.99,False
"ACID Cigars by Drew Estate Blondie G-Fresh (4.0"""" x 38)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Facid-cigars%2Facid-cigars-by-drew-estate%2FAIA-PM.html,ACID,"""ACID Cigars by Drew Estate Blondie G-Fresh","4.0"" x 38",20,84.99,False
"Arturo Fuente Breva Royale (5.5"""" x 42) - It's A Girl!",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Farturo-fuente%2Farturo-fuente%2FAFA-PM.html,Arturo Fuente,"""Arturo Fuente Breva Royale","5.5"" x 42",20,85.0,False
"Roma Craft CRAFT 2021 Gran Perfecto (5.6"""" x 60)",https://www.dpbolvw.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Froma-craft-cigar-company%2Froma-craft-craft%2FRCC-PM-1005.html,RoMa Craft Tabac,"""Roma Craft CRAFT 2021 Gran","5.6"" x 60",20,85.5,False
"Drew Estate Undercrown Maduro Robusto (5.0"""" x 54)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fdrew-estate%2Fdrew-estate-undercrown-maduro%2FLPE-PM.html,Undercrown by Drew Estate,"""Drew Estate Undercrown Maduro","5.0"" x 54",20,85.99,True
"Roma Craft CRAFT 2021 Perfecto (5.1"""" x 60)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Flist-of-brands%2Froma-craft-cigar-company%2Froma-craft-craft%2FRCC-PM-1005.html,RoMa Craft Tabac,"""Roma Craft CRAFT 2021","5.1"" x 60",20,85.99,False
"Ashton Cigars Monarch Tubos (6.0"""" x 49)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fashton%2Fashton-cigars%2FAHA-PM.html,Ashton,"""Ashton Cigars Monarch Tubos","6.0"" x 49",20,85.99,False
"Nub by Oliva 358 (3.7"""" x 58) - Connecticut",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Foliva%2Fnub-by-oliva%2FNUB-PM.html,Nub by Oliva,"""","3.7"" x 58",20,85.99,False
"Nub by Oliva 464 Torpedo (4.0"""" x 64) - Cameroon",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Foliva%2Fnub-by-oliva%2FNUB-PM.html,Nub by Oliva,"""","4.0"" x 64",20,85.99,True
"Macanudo Gold Crystal (Tube) (5.5"""" x 50)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fmacanudo%2Fmacanudo-gold%2FMA5-PM.html,Macanudo,"""Macanudo Gold Crystal (Tube)","5.5"" x 50",20,85.99,False
"CAO Brazilia Samba (6.2"""" x 54)",https://www.kqzyfj.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fcao%2Fcao-brazilia%2FOBA-PM.html,CAO,"""CAO Brazilia Samba","6.2"" x 54",20,85.99,False
"RoMa Craft CroMagnon Aquitaine Breuil LE (5.5"""" x 37)",https://www.jdoqocy.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Froma-craft%2Froma-craft-cromagnon-aquitaine%2FRC2-PM.html,RoMa Craft Tabac,"""RoMa Craft CroMagnon Aquitaine Breuil LE","5.5"" x 37",20,85.99,False
"Cohiba Nicaragua N4.8x50 (4.8"""" x 50)",https://www.anrdoezrs.net/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fcohiba%2Fcohiba-nicaragua%2FCHF-PM.html,Cohiba,"""Cohiba Nicaragua N4.8x50","4.8"" x 50",20,85.99,False
"Padron Delicias (4.9"""" x 46) - Delicias Natural",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fpadron%2Fpadron%2FK9C-PM.html,Padron,"""Padron Delicias","4.9"" x 46",20,86.0,False
"Four Kicks by Crowned Heads Robusto Extra (5.5"""" x 56)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fcrowned-heads%2Ffour-kicks-by-crowned-heads%2FFK1-PM.html,Crowned Heads,"""Four Kicks by Crowned Heads","5.5"" x 56",20,86.99,False
"Montecristo White Label Robusto Grande Tube (5.0"""" x 52)",https://www.tkqlhce.com/click-101532120-17074123?url=https%3A%2F%2Fwww.cigora.com%2Fp%2Fcigars%2Fshop-by-brand%2Fmontecristo%2Fmontecristo-white-label%2FWMA-PM.html,Montecristo,"""Montecristo White Label","5.0"" x 52",20,86.99,False
