cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
DREWESTATE|DREWESTATE|HERRERAESTELINORTENO|LONSDALEDELUXE|LONSDALEDELUXE|6.25x44|MEX|BOX25,Lonsdale Deluxe,https://www.cigarsdirect.com/collections/herrera-esteli-by-drew-estate-norteno/products/herrera-esteli-by-drew-estate-norteno-lonsdale?variant=31084935413857,Drew Estate,Herrera Esteli Norteno,Mexican San Andres,Lonsdale Deluxe,6.25x44,25,246.0,False,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|ROBUSTO|ROBUSTO|5.25x50|DOM|BOX29,Robusto,https://www.cigarsdirect.com/collections/arturo-fuente-opus-x/products/arturo-fuente-opus-x-robusto?variant=19712418119777,Arturo Fuente,Opus X,Dominican Rosado,Robusto,5.25x50,29,1649.99,False,
ROMEOYJULIETA|ROMEOYJULIETA|1875|CHURCHILL|CHURCHILL|7x50|IND|BOX25,Churchill,https://www.cigarsdirect.com/products/romeo-y-julieta-1875-churchill?variant=19713384317025,Romeo y Julieta,1875,Indonesian Shade Grown TBN,Churchill,7x50,25,288.0,False,
MYFATHER|MYFATHER|THEJUDGE|GRANDROBUSTO|GRANDROBUSTO|5.625x60|ECU|BOX23,Grand Robusto,https://www.cigarsdirect.com/collections/my-father-cigars-the-judge/products/my-father-cigars-the-judge-560-box-pressed?variant=31116864487521,My Father,The Judge,Ecuadorian Sumatra Oscuro,Grand Robusto,5.625x60,23,274.0,False,
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|ECU|BOX25,Epicure,https://www.cigarsdirect.com/products/perdomo-reserve-10th-anniversary-champagne-epicure?variant=19713344077921,Perdomo,Reserve 10th Anniversary Champagne,Ecuadorian Connecticut,Epicure,6x54,25,264.0,False,
MYFATHER|MYFATHER|LEBIJOU1922|TORO|TORO|6.5x52|NIC|BOX23,Toro,https://www.cigarsdirect.com/products/my-father-cigars-le-bijou-1922-toro?variant=19713281228897,My Father,Le Bijou 1922,Nicaraguan Habano Oscuro,Toro,6.5x52,23,254.0,False,
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|NAT|BOX25,Diplomatico,https://www.cigarsdirect.com/products/padron-1964-anniversary-diplomatico-natural?variant=19713316159585,Padron,1964 Anniversary,Natural,Diplomatico,7x50,25,455.0,False,
FOUNDATION|OLMEC|OLMEC|TORO|TORO|6x52|MAD|BOX12,Maduro Toro,https://www.cigarsdirect.com/products/foundation-cigar-co-olmec-maduro-toro?variant=42173809098929,Foundation,Olmec,Maduro,Toro,6x52,12,169.0,False,
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|MAD|BOX25,Diplomatico,https://www.cigarsdirect.com/products/padron-1964-anniversary-diplomatico-maduro?variant=19713315995745,Padron,1964 Anniversary,Maduro,Diplomatico,7x50,25,455.0,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,Best Seller,https://www.cigarsdirect.com/products/arturo-fuente-hemingway-best-seller,Arturo Fuente,Hemingway,Cameroon,Best Seller,4.5x55,25,912.0,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|MAD|BOX25,Best Seller,https://www.cigarsdirect.com/collections/arturo-fuente-hemingway/products/arturo-fuente-hemingway-best-seller-maduro,Arturo Fuente,Hemingway,Maduro,Best Seller,4.5x55,25,285.0,False,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,Signature,https://www.cigarsdirect.com/products/arturo-fuente-hemingway-signature?variant=31070088986721,Arturo Fuente,Hemingway,Cameroon,Signature,6x46,25,288.0,False,
ASHTON|ASHTON|VSG|ROBUSTO|ROBUSTO|5.5x50|ECU|BOX24,Robusto,https://www.cigarsdirect.com/products/ashton-vsg-robusto?variant=38194489262257,Ashton,VSG,Ecuadorian Sun Grown,Robusto,5.5x50,24,345.0,False,
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|NAT|BOX25,,https://www.cigarsdirect.com/products/padron-1964-anniversary-exclusivo-natural?variant=19713316323425
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|MAD|BOX25,,https://www.cigarsdirect.com/products/padron-1964-anniversary-exclusivo-maduro?variant=19713316257889
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|NAT|BOX25,,https://www.cigarsdirect.com/products/padron-1964-anniversary-principe-natural?variant=19713318289505
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|MAD|BOX25,,https://www.cigarsdirect.com/products/padron-1964-anniversary-principe-maduro?variant=19713318158433
PADRON|PADRON|1964ANNIVERSARY|CORONA|CORONA|6x42|NAT|BOX25,,https://www.cigarsdirect.com/products/padron-1964-anniversary-corona-natural?variant=19713315864673
PADRON|PADRON|1964ANNIVERSARY|CORONA|CORONA|6x42|MAD|BOX25,,https://www.cigarsdirect.com/products/padron-1964-anniversary-corona-maduro?_pos=1&_sid=24119eb13&_ss=r
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,,https://www.cigarsdirect.com/products/arturo-fuente-hemingway-classic?variant=31060856832097
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,,https://www.cigarsdirect.com/products/arturo-fuente-hemingway-short-story?variant=31070095179873
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|CAM|BOX25,,https://www.cigarsdirect.com/products/arturo-fuente-hemingway-work-of-art?_pos=1&_sid=df24369f0&_ss=r&variant=31070115299425
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|MAD|BOX25,,https://www.cigarsdirect.com/products/arturo-fuente-hemingway-work-of-art-maduro?_pos=3&_sid=df24369f0&_ss=r&variant=31070126768225
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BETWEENTHELINES|BETWEENTHELINES|4.5x54|CAM|BOX25,,https://www.cigarsdirect.com/products/arturo-fuente-hemingway-between-the-lines?variant=29926231638113
ASHTON|ASHTON|VSG|ENCHANTMENT|ENCHANTMENT|5.5x48|ECU|BOX22,,https://www.cigarsdirect.com/products/ashton-vsg-enchantment?variant=38194487689393
ASHTON|ASHTON|VSG|SPELLBOUND|SPELLBOUND|6x50|ECU|BOX24,,https://www.cigarsdirect.com/products/ashton-vsg-spellbound?variant=38194491195569
ASHTON|ASHTON|VSG|WIZARD|WIZARD|7x52|ECU|BOX37,,https://www.cigarsdirect.com/products/ashton-vsg-wizard?variant=38194493161649
ASHTON|ASHTON|VSG|BELICOSONO.1|BELICOSONO.1|5.5x52|ECU|BOX24,,https://www.cigarsdirect.com/products/ashton-vsg-belicoso-1?variant=38194486476977
ASHTON|ASHTON|VSG|ILLUSION|ILLUSION|6x54|ECU|BOX24,,https://www.cigarsdirect.com/products/ashton-vsg-illusion?variant=38194487951537
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONNO.4|PERFECXIONNO.4|5.1875x43|DOM|BOX42,,https://www.cigarsdirect.com/products/arturo-fuente-opus-x-perfecxion-no-4?variant=19712416252001
ARTUROFUENTE|ARTUROFUENTE|OPUSX|SUPERBELICOSO|SUPERBELICOSO|5.5x52|DOM|BOX29,,https://www.cigarsdirect.com/products/arturo-fuente-opus-x-super-belicoso?variant=19712418578529
ARTUROFUENTE|ARTUROFUENTE|OPUSX|BELICOSOXXX|BELICOSOXXX|4.625x49|DOM|BOX42,,https://www.cigarsdirect.com/products/arturo-fuente-opus-x-belicoso-xxx?variant=19713544028257
