cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock
ROMEOYJULIETA|ROMEOYJULIETA|1875|CHURCHILL|CHURCHILL|7x50|CAM|BOX25,,https://www.bnbtobacco.com/products/romeo-y-julieta-1875?variant=33403331075
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,,https://www.bnbtobacco.com/products/arturo-fuente-hemingway?variant=29429333955
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,,https://www.bnbtobacco.com/products/arturo-fuente-hemingway?variant=29429334723
