cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
MONTECRISTO|MONTECRISTO|1935ANNIVERSARYNICARAGUA|DEMI|DEMI|5x50|NIC|BOX20,Demi,https://www.smallbatchcigar.com/montecristo-1935-anniversary-nicaragua-demi,Montecristo,1935 Anniversary Nicaragua,Nicaraguan Habano,Demi,5x50,20,296.0,False,
COHIBA||REDDOT|ROBUSTO|ROBUSTO|5x49|CAM|BOX25,Robusto,https://www.smallbatchcigar.com/cohiba-red-dot-churchill,Cohiba,Red Dot,Cameroon,Robusto,5x49,25,741.0,False,
CROWNEDHEADS|JERICHOHILL|JERICHOHILL|OBS|OBS|4.75x52|MAD|BOX24,OBS,https://www.smallbatchcigar.com/jericho-hill-obs,Crowned Heads,Jericho Hill,Maduro,OBS,4.75x52,24,240.0,True,
DIAMONDCROWN|DIAMONDCROWN|JULIUSCAESER|ROBUSTO|ROBUSTO|5x54|ECU|BOX20,Robusto,https://www.smallbatchcigar.com/julius-caeser-robusto,Diamond Crown,Julius Caeser,Ecuadorian Habano,Robusto,5x54,20,312.0,False,
DIAMONDCROWN|DIAMONDCROWN|JULIUSCAESER|TORO|TORO|6x54|ECU|BOX20,Toro,https://www.smallbatchcigar.com/julius-caeser-toro,Diamond Crown,Julius Caeser,Ecuadorian Habano,Toro,6x54,20,343.0,True,
PADRON|PADRON|1926SERIE|NO.6|NO.6|4.75x50|MAD|BOX24,No. 6,https://www.smallbatchcigar.com/padron-1926-6-maduro,Padron,1926 Serie,Maduro,No. 6,4.75x50,24,463.0,True,
PADRON|PADRON|1926SERIE|NO.6|NO.6|4.75x50|NAT|BOX24,No. 6,https://www.smallbatchcigar.com/padron-1926-6-natural,Padron,1926 Serie,Natural,No. 6,4.75x50,24,463.0,True,
PADRON|PADRON|1926SERIE|NO.2BELICOSO|NO.2BELICOSO|5.25x52|MAD|BOX24,No. 2 Belicoso,https://www.smallbatchcigar.com/padron-1926-2-maduro,Padron,1926 Serie,Maduro,No. 2 Belicoso,5.25x52,24,567.0,True,
PADRON|PADRON|1926SERIE|NO.2BELICOSO|NO.2BELICOSO|5.25x52|NAT|BOX24,No. 2 Belicoso,https://www.smallbatchcigar.com/padron-1926-2-natural,Padron,1926 Serie,Natural,No. 2 Belicoso,5.25x52,24,567.0,True,
PADRON|PADRON|1964ANNIVERSARY|TORPEDO|TORPEDO|6x52|MAD|BOX20,Torpedo,https://www.smallbatchcigar.com/padron-1964-torpedo-maduro,Padron,1964 Anniversary,Maduro,Torpedo,6x52,20,446.0,True,
PADRON|PADRON|1964ANNIVERSARY|TORPEDO|TORPEDO|6x52|NAT|BOX20,Torpedo,https://www.smallbatchcigar.com/padron-1964-torpedo-natural,Padron,1964 Anniversary,Natural,Torpedo,6x52,20,446.0,True,
PADRON|PADRON|1964ANNIVERSARY|IMPERIAL|IMPERIAL|6x54|MAD|BOX25,Imperial,https://www.smallbatchcigar.com/padron-1964-imperial-maduro,Padron,1964 Anniversary,Maduro,Imperial,6x54,25,530.0,True,
PADRON|PADRON|1964ANNIVERSARY|IMPERIAL|IMPERIAL|6x54|NAT|BOX25,Imperial,https://www.smallbatchcigar.com/padron-1964-imperial-natural,Padron,1964 Anniversary,Natural,Imperial,6x54,25,530.0,True,
PADRON|PADRON|1964ANNIVERSARY|MONARCA|MONARCA|6.5x46|MAD|BOX25,Monarca,https://www.smallbatchcigar.com/padron-1964-monarca-maduro,Padron,1964 Anniversary,Maduro,Monarca,6.5x46,25,427.0,True,
PADRON|PADRON|1964ANNIVERSARY|MONARCA|MONARCA|6.5x46|NAT|BOX25,Monarca,https://www.smallbatchcigar.com/padron-1964-monarca-natural,Padron,1964 Anniversary,Natural,Monarca,6.5x46,25,427.0,True,
