cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ROMEOYJULIETA|ROMEOYJULIETA|1875|CHURCHILL|CHURCHILL|7x50|IND|BOX25,Churchill,https://www.bighumidor.com/index.cfm?ref=80200&ref2=363,Romeo y Julieta,1875,Indonesian Shade Grown TBN,Churchill,7x50,25,199.95,True,
PADRON|PADRON|1926SERIE|NO.9|NO.9|5.25x56|NAT|BOX24,No. 9,https://www.bighumidor.com/index.cfm?ref=80200&ref2=1177,Padron,1926 Serie,Natural,No. 9,5.25x56,24,555.95,True,
PADRON|PADRON|1926SERIE|NO.9|NO.9|5.25x56|MAD|BOX24,No. 9,https://www.bighumidor.com/index.cfm?ref=80200&ref2=1178,Padron,1926 Serie,Maduro,No. 9,5.25x56,24,555.95,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://www.bighumidor.com/index.cfm?ref=80200&ref2=662,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,169.95,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|MAD|BOX25,Short Story,https://www.bighumidor.com/index.cfm?ref=80200&ref2=3472,Arturo Fuente,Hemingway,Maduro,Short Story,4x49,25,199.95,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|CAM|BOX25,Work of Art,https://www.bighumidor.com/index.cfm?ref=80200&ref2=2714,Arturo Fuente,Hemingway,Cameroon,Work of Art,4.875x60,25,262.95,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|WORKOFART|WORKOFART|4.875x60|MAD|BOX25,Work of Art,https://www.bighumidor.com/index.cfm?ref=80200&ref2=660,Arturo Fuente,Hemingway,Maduro,Work of Art,4.875x60,25,262.95,True,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BETWEENTHELINES|BETWEENTHELINES|4.5x54|CAM|BOX25,Between the Lines,https://www.bighumidor.com/index.cfm?ref=80200&ref2=1903,Arturo Fuente,Hemingway,Cameroon,Between the Lines,4.5x54,25,499.95,True,
ASHTON|ASHTON|VSG|ENCHANTMENT|ENCHANTMENT|5.5x48|ECU|BOX22,Enchantment,https://www.bighumidor.com/index.cfm?ref=80200&ref2=1100,Ashton,VSG,Ecuadorian Sun Grown,Enchantment,5.5x48,22,350.95,True,
ASHTON|ASHTON|VSG|SPELLBOUND|SPELLBOUND|6x50|ECU|BOX24,Spellbound,https://www.bighumidor.com/index.cfm?ref=80200&ref2=838,Ashton,VSG,Ecuadorian Sun Grown,Spellbound,6x50,24,427.95,True,
ASHTON|ASHTON|VSG|WIZARD|WIZARD|7x52|ECU|BOX37,Wizard,https://www.bighumidor.com/index.cfm?ref=80200&ref2=1942,Ashton,VSG,Ecuadorian Sun Grown,Wizard,7x52,37,631.95,True,
ASHTON|ASHTON|VSG|BELICOSONO.1|BELICOSONO.1|5.5x52|ECU|BOX24,Belicoso No. 1,https://www.bighumidor.com/index.cfm?ref=80200&ref2=643,Ashton,VSG,Ecuadorian Sun Grown,Belicoso No. 1,5.5x52,24,350.95,True,
ASHTON|ASHTON|VSG|ILLUSION|ILLUSION|6x54|ECU|BOX24,Illusion,https://www.bighumidor.com/index.cfm?ref=80200&ref2=703,Ashton,VSG,Ecuadorian Sun Grown,Illusion,6x54,24,341.95,True,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONNO.4|PERFECXIONNO.4|5.1875x43|DOM|BOX42,PerfecXion No. 4,https://www.bighumidor.com/index.cfm?ref=80200&ref2=7081,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion No. 4,5.1875x43,42,1199.95,False,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|ROBUSTO|ROBUSTO|5.25x50|DOM|BOX29,Robusto,https://www.bighumidor.com/index.cfm?ref=80200&ref2=4759,Arturo Fuente,Opus X,Dominican Rosado,Robusto,5.25x50,29,1099.95,False,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|SUPERBELICOSO|SUPERBELICOSO|5.5x52|DOM|BOX29,Super Belicoso,https://www.bighumidor.com/index.cfm?ref=80200&ref2=4970,Arturo Fuente,Opus X,Dominican Rosado,Super Belicoso,5.5x52,29,1099.95,False,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|BELICOSOXXX|BELICOSOXXX|4.625x49|DOM|BOX42,Belicoso XXX,https://www.bighumidor.com/index.cfm?ref=80200&ref2=4757,Arturo Fuente,Opus X,Dominican Rosado,Belicoso XXX,4.625x49,42,1199.95,False,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONNO.5|PERFECXIONNO.5|4.875x40|DOM|BOX42,PerfecXion No. 5,https://www.bighumidor.com/index.cfm?ref=80200&ref2=7837,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion No. 5,4.875x40,42,1199.95,True,
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|ROBUSTO|ROBUSTO|5x54|CON|BOX24,Robusto,https://www.bighumidor.com/index.cfm?ref=80200&ref2=3406,Drew Estate,Liga Privada No. 9,Connecticut Broadleaf Oscuro,Robusto,5x54,24,387.95,True,
DREWESTATE|DREWESTATE|LIGAPRIVADANO.9|CORONAVIVA|CORONAVIVA|6x46|CON|BOX24,Corona Viva,https://www.bighumidor.com/index.cfm?ref=80200&ref2=6233,Drew Estate,Liga Privada No. 9,Connecticut Broadleaf Oscuro,Corona Viva,6x46,24,369.95,True,
MONTECRISTO|MONTECRISTO|1935ANNIVERSARYNICARAGUA|DEMI|DEMI|5x50|NIC|BOX20,Demi,https://www.bighumidor.com/index.cfm?ref=80200&ref2=7733,Montecristo,1935 Anniversary Nicaragua,Nicaraguan Habano,Demi,5x50,20,279.95,True,
OLIVA|OLIVA|SERIEV|BELICOSO|BELICOSO|5.5x54|ECU|BOX24,Belicoso,https://www.bighumidor.com/index.cfm?ref=80200&ref2=2227,Oliva,Serie V,Ecuadorian Habano,Belicoso,5.5x54,24,219.95,True,
OLIVA|OLIVA|SERIEV|TORPEDO|TORPEDO|6.5x52|ECU|BOX24,Torpedo,https://www.bighumidor.com/index.cfm?ref=80200&ref2=2223,Oliva,Serie V,Ecuadorian Habano,Torpedo,6.5x52,24,259.95,True,
OLIVA|OLIVA|SERIEV|DOUBLEROBUSTO|DOUBLEROBUSTO|5x54|ECU|BOX24,Double Robusto,https://www.bighumidor.com/index.cfm?ref=80200&ref2=2222,Oliva,Serie V,Ecuadorian Habano,Double Robusto,5x54,24,218.95,True,
OLIVA|OLIVA|SERIEV|CHURCHILLEXTRA|CHURCHILLEXTRA|7x48|ECU|BOX24,Churchill Extra,https://www.bighumidor.com/index.cfm?ref=80200&ref2=2226,Oliva,Serie V,Ecuadorian Habano,Churchill Extra,7x48,24,279.95,True,
OLIVA|OLIVA|SERIEV|DOUBLETORO|DOUBLETORO|6x60|ECU|BOX24,Double Toro,https://www.bighumidor.com/index.cfm?ref=80200&ref2=2224,Oliva,Serie V,Ecuadorian Habano,Double Toro,6x60,24,269.95,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|ROBUSTO|ROBUSTO|5x50|HON|BOX20,Robusto,https://www.bighumidor.com/index.cfm?ref=80200&ref2=1756,Rocky Patel,Vintage 1990,Honduran Broadleaf,Robusto,5x50,20,204.95,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|TORO|TORO|6x52|HON|BOX20,Toro,https://www.bighumidor.com/index.cfm?ref=80200&ref2=1757,Rocky Patel,Vintage 1990,Honduran Broadleaf,Toro,6x52,20,215.95,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|TORPEDO|TORPEDO|6.5x52|HON|BOX20,Torpedo,https://www.bighumidor.com/index.cfm?ref=80200&ref2=1755,Rocky Patel,Vintage 1990,Honduran Broadleaf,Torpedo,6.5x52,20,222.95,True,
ROCKYPATEL|ROCKYPATEL|VINTAGE1990|CHURCHILL|CHURCHILL|7x48|HON|BOX20,Churchill,https://www.bighumidor.com/index.cfm?ref=80200&ref2=1754,Rocky Patel,Vintage 1990,Honduran Broadleaf,Churchill,7x48,20,215.95,True,
MACANUDO|MACANUDO|CAFE|HYDEPARK|HYDEPARK|5.5x49|CT|BOX25,Hyde Park,https://www.bighumidor.com/index.cfm?ref=80200&ref2=217,Macanudo,Cafe,Connecticut Shade,Hyde Park,5.5x49,25,214.95,True,
MACANUDO|MACANUDO|CAFE|HAMPTONCOURT|HAMPTONCOURT|5.25x42|CT|BOX25,Hampton Court,https://www.bighumidor.com/index.cfm?ref=80200&ref2=214,Macanudo,Cafe,Connecticut Shade,Hampton Court,5.25x42,25,205.95,True,
MACANUDO|MACANUDO|CAFE|PORTOFINO|PORTOFINO|7x34|CT|BOX25,Portofino,https://www.bighumidor.com/index.cfm?ref=80200&ref2=218,Macanudo,Cafe,Connecticut Shade,Portofino,7x34,25,221.95,True,
MACANUDO|MACANUDO|CAFE|DUKEOFDEVON|DUKEOFDEVON|5.5x42|CT|BOX25,Duke of Devon,https://www.bighumidor.com/index.cfm?ref=80200&ref2=220,Macanudo,Cafe,Connecticut Shade,Duke of Devon,5.5x42,25,195.95,True,
MACANUDO|MACANUDO|CAFE|BARONDEROTHSCHILD|BARONDEROTHSCHILD|6.5x42|CT|BOX25,Baron de Rothschild,https://www.bighumidor.com/index.cfm?ref=80200&ref2=215,Macanudo,Cafe,Connecticut Shade,Baron de Rothschild,6.5x42,25,216.95,True,
CAO|CAO|FLATHEAD|V554CAMSHAFT|V554CAMSHAFT|5.5x54|CT|BOX24,V554 Camshaft,https://www.bighumidor.com/index.cfm?ref=80200&ref2=4300,CAO,Flathead,Connecticut Broadleaf,V554 Camshaft,5.5x54,24,196.95,True,
CAO|CAO|FLATHEAD|V660CARB|V660CARB|6x60|CT|BOX24,V660 Carb,https://www.bighumidor.com/index.cfm?ref=80200&ref2=4301,CAO,Flathead,Connecticut Broadleaf,V660 Carb,6x60,24,211.95,False,
CAO|CAO|FLATHEAD|V450SPARKPLUG|V450SPARKPLUG|4.5x50|CT|BOX24,V450 Sparkplug,https://www.bighumidor.com/index.cfm?ref=80200&ref2=4464,CAO,Flathead,Connecticut Broadleaf,V450 Sparkplug,4.5x50,24,177.95,True,
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|CORONAVIVA|CORONAVIVA|5.625x46|SAN|BOX25,Corona Viva,https://www.bighumidor.com/index.cfm?ref=80200&ref2=3762,Drew Estate,Undercrown Maduro,San Andres,Corona Viva,5.625x46,25,169.95,False,
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|ROBUSTO|ROBUSTO|5x54|SAN|BOX25,Robusto,https://www.bighumidor.com/index.cfm?ref=80200&ref2=3673,Drew Estate,Undercrown Maduro,San Andres,Robusto,5x54,25,178.95,True,
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|BELICOSO|BELICOSO|6x52|SAN|BOX25,Belicoso,https://www.bighumidor.com/index.cfm?ref=80200&ref2=3670,Drew Estate,Undercrown Maduro,San Andres,Belicoso,6x52,25,199.95,False,
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|GRANTORO|GRANTORO|6x52|SAN|BOX25,Gran Toro,https://www.bighumidor.com/index.cfm?ref=80200&ref2=3672,Drew Estate,Undercrown Maduro,San Andres,Gran Toro,6x52,25,192.95,True,
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|CORONADOBLE|CORONADOBLE|7x54|SAN|BOX25,Corona Doble,https://www.bighumidor.com/index.cfm?ref=80200&ref2=3671,Drew Estate,Undercrown Maduro,San Andres,Corona Doble,7x54,25,224.95,True,
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|GORDITO|GORDITO|6x60|SAN|BOX25,Gordito,https://www.bighumidor.com/index.cfm?ref=80200&ref2=3730,Drew Estate,Undercrown Maduro,San Andres,Gordito,6x60,25,239.95,True,
OLIVA|OLIVA|SERIEG|ROBUSTO|ROBUSTO|4.5x50|CAM|BOX25,Robusto,https://www.bighumidor.com/index.cfm?ref=80200&ref2=3017,Oliva,Serie G,Cameroon,Robusto,4.5x50,25,152.95,True,
OLIVA|OLIVA|SERIEG|TORO|TORO|6x50|CAM|BOX25,Toro,https://www.bighumidor.com/index.cfm?ref=80200&ref2=2193,Oliva,Serie G,Cameroon,Toro,6x50,25,156.95,True,
OLIVA|OLIVA|SERIEG|CHURCHILL|CHURCHILL|7x48|CAM|BOX25,Churchill,https://www.bighumidor.com/index.cfm?ref=80200&ref2=1409,Oliva,Serie G,Cameroon,Churchill,7x48,25,163.95,True,
OLIVA|OLIVA|SERIEG|BELICOSO|BELICOSO|6x52|CAM|BOX25,Belicoso,https://www.bighumidor.com/index.cfm?ref=80200&ref2=1411,Oliva,Serie G,Cameroon,Belicoso,6x52,25,159.95,True,
OLIVA|OLIVA|SERIEG|DOUBLEROBUSTO|DOUBLEROBUSTO|5x54|CAM|BOX25,Double Robusto,https://www.bighumidor.com/index.cfm?ref=80200&ref2=2096,Oliva,Serie G,Cameroon,Double Robusto,5x54,25,173.95,True,
