cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
MYFATHER|MYFATHER|THEJUDGE|GRANDROBUSTO|GRANDROBUSTO|5.625x60|ECU|BOX23,Grand Robusto,https://cigarcellarofmiami.com/product/my-father-cigars-the-judge-grand-robusto/,My Father,The Judge,Ecuadorian Sumatra Oscuro,Grand Robusto,5.625x60,23,,,
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,Best Seller,https://cigarcellarofmiami.com/product/arturo-fuente-hemingway-best-seller/,Arturo Fuente,Hemingway,Cameroon,Best Seller,4.5x55,25,,,
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|MAD|BOX25,Diplomatico,https://cigarcellarofmiami.com/product/padron-1964-aniversario-diplomatico-maudro-25-ct-box/,Padron,1964 Anniversary,Maduro,Diplomatico,7x50,25,,,
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|NAT|BOX25,Diplomatico,https://cigarcellarofmiami.com/product/padron-1964-aniversario-diplomatico-natural-25-ct-box/,Padron,1964 Anniversary,Natural,Diplomatico,7x50,25,,,
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|MAD|BOX25,Exclusivo,https://cigarcellarofmiami.com/product/padron-1964-anniversary-exclusivo-maduro/,Padron,1964 Anniversary,Maduro,Exclusivo,5.5x50,25,,,
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|NAT|BOX25,Exclusivo,https://cigarcellarofmiami.com/product/padron-1964-anniversary-exclusivo-natural/,Padron,1964 Anniversary,Natural,Exclusivo,5.5x50,25,,,
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|MAD|BOX25,Principe,https://cigarcellarofmiami.com/product/padron-1964-aniversario-principe-maduro-25-ct-box/,Padron,1964 Anniversary,Maduro,Principe,4.5x46,25,,,
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|NAT|BOX25,Principe,https://cigarcellarofmiami.com/product/padron-1964-aniversario-principe-natural-25-ct-box/,Padron,1964 Anniversary,Natural,Principe,4.5x46,25,,,
