title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock
Arturo Fuente Hemingway 7x48 (Box of 25),https://nickscigarworld.com/shop/premium-cigars/arturo-fuente-hemingway/arturo-fuente-hemingway-classic/,Arturo Fuente,Hemingway,Natural,,7x48,25,235.95,true
Hoyo de Monterrey Excalibur 5.2x50 Box of 20,https://nickscigarworld.com/shop/premium-cigars/hoyo-de-monterrey-excalibur/excalibur-by-hoyo-de-monterrey-epicure-ems/,Hoyo de Monterrey,Excalibur,Natural,,5.2x50,20,150.95,true
Drew Estate Herrera Esteli Norteno 6.5x44 Box of 25,https://nickscigarworld.com/shop/premium-cigars/herrera-esteli-norteno/herrera-esteli-norteno-lonsdale-deluxe/,Drew Estate,Herrera Esteli Norteno,Natural,,6.5x44,25,215.95,true
Padron 1964 Anniversary 7x50 Box of 25,https://nickscigarworld.com/shop/premium-cigars/padron-1964-anniversary-series/padron-1964-anniversario-diplomatico-maduro/,Padron,1964 Anniversary,Maduro,,7x50,25,455,true
