cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
MYFATHER|MYFATHER|THEJUDGE|GRANDROBUSTO|GRANDROBUSTO|5.625x60|ECU|BOX23,,https://cigarcellarofmiami.com/product/my-father-cigars-the-judge-grand-robusto/
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,,https://cigarcellarofmiami.com/product/arturo-fuente-hemingway-best-seller/
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|MAD|BOX25,,https://cigarcellarofmiami.com/product/padron-1964-aniversario-diplomatico-maudro-25-ct-box/
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|NAT|BOX25,,https://cigarcellarofmiami.com/product/padron-1964-aniversario-diplomatico-natural-25-ct-box/
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|MAD|BOX25,,https://cigarcellarofmiami.com/product/padron-1964-anniversary-exclusivo-maduro/
PADRON|PADRON|1964ANNIVERSARY|EXCLUSIVO|EXCLUSIVO|5.5x50|NAT|BOX25,,https://cigarcellarofmiami.com/product/padron-1964-anniversary-exclusivo-natural/
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|MAD|BOX25,,https://cigarcellarofmiami.com/product/padron-1964-aniversario-principe-maduro-25-ct-box/
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|NAT|BOX25,,https://cigarcellarofmiami.com/product/padron-1964-aniversario-principe-natural-25-ct-box/
