cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
MACANUDO|MACANUDO|CAFE|PORTOFINO|PORTOFINO|7x34|CT|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=218
MACANUDO|MACANUDO|CAFE|DUKEOFDEVON|DUKEOFDEVON|5.5x42|CT|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=220
MACANUDO|MACANUDO|CAFE|BARONDEROTHSCHILD|BARONDEROTHSCHILD|6.5x42|CT|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=215
CAO|CAO|FLATHEAD|V554CAMSHAFT|V554CAMSHAFT|5.5x54|CT|BOX24,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=4300
CAO|CAO|FLATHEAD|V660CARB|V660CARB|6x60|CT|BOX24,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=4301
CAO|CAO|FLATHEAD|V770BIGBLOCK|V770BIGBLOCK|7x70|CT|BOX24
CAO|CAO|FLATHEAD|V450SPARKPLUG|V450SPARKPLUG|4.5x50|CT|BOX24,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=4464
CAO|CAO|FLATHEADSTEELHORSE|BULLNECK|BULLNECK|5.625x52|ECU|BOX18
CAO|CAO|FLATHEADSTEELHORSE|KICKSTAND|KICKSTAND|6x52|ECU|BOX18
CAO|CAO|FLATHEADSTEELHORSE|CLUTCH|CLUTCH|6x60|ECU|BOX18
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|CORONAVIVA|CORONAVIVA|5.625x46|SAN|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=3762
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|ROBUSTO|ROBUSTO|5x54|SAN|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=3673
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|BELICOSO|BELICOSO|6x52|SAN|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=3670
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|GRANTORO|GRANTORO|6x52|SAN|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=3672
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|CORONADOBLE|CORONADOBLE|7x54|SAN|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=3671
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|GORDITO|GORDITO|6x60|SAN|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=3730
OLIVA|OLIVA|SERIEG|ROBUSTO|ROBUSTO|4.5x50|CAM|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=3017
OLIVA|OLIVA|SERIEG|TORO|TORO|6x50|CAM|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=2193
OLIVA|OLIVA|SERIEG|CHURCHILL|CHURCHILL|7x48|CAM|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=1409
OLIVA|OLIVA|SERIEG|BELICOSO|BELICOSO|6x52|CAM|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=1411
OLIVA|OLIVA|SERIEG|DOUBLEROBUSTO|DOUBLEROBUSTO|5x54|CAM|BOX25,,https://www.bighumidor.com/index.cfm?ref=80200&ref2=2096
