cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
PADRON|PADRON|1964ANNIVERSARY|PRINCIPE|PRINCIPE|4.5x46|MAD|BOX25,Principe,https://pyramidcigars.com/products/padron-1964-principe-maduro?_pos=2&_sid=0124eaec3&_ss=r,Padron,1964 Anniversary,Maduro,Principe,4.5x46,25,344.99,True,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONA|PERFECXIONA|9.125x47|DOM|BOX20,PerfecXion A,https://pyramidcigars.com/products/arturo-fuente-opus-x-perfecxion-a,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion A,9.125x47,20,1199.0,False,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONX|PERFECXIONX|6.25x48|DOM|BOX32,PerfecXion X,https://pyramidcigars.com/products/arturo-fuente-opus-x-perfecxion-x,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion X,6.25x48,32,1612.0,False,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|ROBUSTO|ROBUSTO|5.25x50|DOM|BOX29,Robusto,https://pyramidcigars.com/products/arturo-fuente-opus-x-robusto,Arturo Fuente,Opus X,Dominican Rosado,Robusto,5.25x50,29,1339.0,False,
ALECBRADLEY|ALECBRADLEY|AMERICANSUNGROWN|ROBUSTO|ROBUSTO|5x50|ECU|BOX24,Robusto,https://pyramidcigars.com/products/alec-bradley-american-sun-grown-robusto,Alec Bradley,American Sun Grown,Ecuadorian Sumatra,Robusto,5x50,24,131.5,True,
ALECBRADLEY|ALECBRADLEY|AMERICANSUNGROWN|TORO|TORO|6x52|ECU|BOX24,Toro,https://pyramidcigars.com/products/alec-bradley-american-sun-grown-toro,Alec Bradley,American Sun Grown,Ecuadorian Sumatra,Toro,6x52,24,140.52,True,
ALECBRADLEY|ALECBRADLEY|BLACKMARKET|CHURCHILL|CHURCHILL|6.75x47|NIC|BOX24,Churchill,https://pyramidcigars.com/products/alec-bradley-black-market-churchill,Alec Bradley,Black Market,Nicaraguan,Churchill,6.75x47,24,212.75,True,
ALECBRADLEY|ALECBRADLEY|BLACKMARKET|GORDO|GORDO|6x60|NIC|BOX24,Gordo,https://pyramidcigars.com/products/alec-bradley-black-market-gordo,Alec Bradley,Black Market,Nicaraguan,Gordo,6x60,24,225.39,True,
ARTUROFUENTE|ARTUROFUENTE|DONCARLOS|BELICOSO|BELICOSO|5.375x52|CAM|BOX25,Belicoso,https://pyramidcigars.com/products/arturo-fuente-don-carlos-belicoso-5-3-x-52,Arturo Fuente,Don Carlos,Cameroon,Belicoso,5.375x52,25,367.41,True,
ARTUROFUENTE|ARTUROFUENTE|DONCARLOS|PRESIDENTE|PRESIDENTE|6.5x50|CAM|BOX25,Presidente,https://pyramidcigars.com/products/arturo-fuente-don-carlos-presidente-6-5-x-50,Arturo Fuente,Don Carlos,Cameroon,Presidente,6.5x50,25,385.57,False,
ARTUROFUENTE|ARTUROFUENTE|CASACUBA|DIVINEINSPIRATION|DIVINEINSPIRATION|6.125x47|ECU|BOX30,Divine Inspiration,https://pyramidcigars.com/products/arturo-fuente-casa-cuba-divine-inspiration,Arturo Fuente,Casa Cuba,Ecuadorian Habano,Divine Inspiration,6.125x47,30,400.0,False,
ALECBRADLEY|ALECBRADLEY|BLACKMARKETESTELI|GORDO|GORDO|6x60|NIC|BOX24,Gordo,https://pyramidcigars.com/products/alec-bradley-black-market-esteli-gordo-6-0-x-60,Alec Bradley,Black Market Esteli,Nicaraguan Habano,Gordo,6x60,24,225.39,True,
ALECBRADLEY|ALECBRADLEY|AMERICANSUNGROWN|GORDO|GORDO|6x60|ECU|BOX24,Gordo,https://pyramidcigars.com/products/alec-bradley-american-sun-grown-gordo,Alec Bradley,American Sun Grown,Ecuadorian Sumatra,Gordo,6x60,24,152.75,True,
OLIVA|OLIVA|CONNECTICUTRESERVE|LONSDALE|LONSDALE|6.5x43|CT|BOX20,,https://pyramidcigars.com/products/oliva-connecticut-reserve-lonsdale-6-5-x-44,Oliva,Connecticut Reserve,Connecticut Shade,Lonsdale,,20,,,
OLIVA|OLIVA|CONNECTICUTRESERVE|ROBUSTO|ROBUSTO|5x50|CT|BOX20,,https://pyramidcigars.com/products/oliva-connecticut-reserve-robusto-5-0-x-50,Oliva,Connecticut Reserve,Connecticut Shade,Robusto,,20,,,
MYFATHER|MYFATHER|LEBIJOU1922|CHURCHILL|CHURCHILL|7x52|NIC|BOX23,,https://pyramidcigars.com/products/my-father-le-bijou-1922-churchill-7-0-x-50,My Father,Le Bijou 1922,Nicaraguan Habano Oscuro,Churchill,,23,,,
CAO|CAO|GOLD|CHURCHILL|CHURCHILL|7x50|ECU|BOX20,,https://pyramidcigars.com/products/cao-gold-7-0-x-48,CAO,Gold,Ecuadorian Connecticut,Churchill,,20,,,
FOUNDATION|OLMEC|OLMEC|ROBUSTO|ROBUSTO|5x50|CLA|BOX12,,https://pyramidcigars.com/products/foundation-cigar-co-olmec-claro-robusto,Foundation,Olmec,Claro,Robusto,,12,,,
MONTECRISTO|MONTECRISTO|EPIC|ROBUSTO|ROBUSTO|5x50|ECU|BOX10,,https://pyramidcigars.com/products/montecristo-epic-robusto,Montecristo,Epic,Ecuadorian Habano,Robusto,,10,,,
ASHTON|ASHTON|CLASSIC|PRIMEMINISTER|PRIMEMINISTER|6.75x48|CT|BOX25,,https://pyramidcigars.com/products/ashton-classic-prime-minister,Ashton,Classic,Connecticut Shade,Prime Minister,,25,,,
ARTUROFUENTE|ARTUROFUENTE|OPUSX|PERFECXIONX|PERFECXIONX|6x48|DOM|BOX32,,https://pyramidcigars.com/products/arturo-fuente-opus-x-perfecxion-x,Arturo Fuente,Opus X,Dominican Rosado,PerfecXion X,,32,,,
MONTECRISTO|MONTECRISTO|CLASSIC|ROBUSTO|ROBUSTO|5x50|CT|BOX20,,https://pyramidcigars.com/products/montecristo-classic-robusto-5-0-x-52,Montecristo,Classic,Connecticut Shade,Robusto,,20,,,
MONTECRISTO|MONTECRISTO|NICARAGUA|ROBUSTO|ROBUSTO|5x50|NIC|BOX20,,https://pyramidcigars.com/products/montecristo-nicaragua-5-0-x-54,Montecristo,Nicaragua,Nicaraguan Habano,Robusto,,20,,,
MONTECRISTO|MONTECRISTO|CLASSIC|ROBUSTO|ROBUSTO|5x50|CT|BOX20,,https://pyramidcigars.com/products/montecristo-classic-toro-6-0-x-52,Montecristo,Classic,Connecticut Shade,Robusto,,20,,,
OLIVA|OLIVA|CONNECTICUTRESERVE|CHURCHILL|CHURCHILL|7x48|CT|BOX20,,https://pyramidcigars.com/products/oliva-connecticut-reserve-churchill-7-0-x-50,Oliva,Connecticut Reserve,Connecticut Shade,Churchill,,20,,,
OLIVA|OLIVA|CONNECTICUTRESERVE|PETITCORONA|PETITCORONA|4.5x40|CT|BOX30,,https://pyramidcigars.com/products/oliva-connecticut-reserve-petite-corona-4-0-x-38,Oliva,Connecticut Reserve,Connecticut Shade,Petit Corona,,30,,,
CAO|CAO|AMAZONBASIN|TORO|TORO|6.25x52|ECU|BOX18,,https://pyramidcigars.com/products/cao-amazon-basin-toro,CAO,Amazon Basin,Ecuadorian Sumatra,Toro,,18,,,
MYFATHER|MYFATHER|LEBIJOU1922|PETITROBUSTO|PETITROBUSTO|4.5x52|NIC|BOX23,,https://pyramidcigars.com/products/my-father-le-bijou-1922-petite-robusto-4-5-x-50,My Father,Le Bijou 1922,Nicaraguan Habano Oscuro,Petit Robusto,,23,,,
PUNCH|PUNCH|KNUCKLEBUSTER|GORDO|GORDO|6x60|NIC|BOX20,Knuckle Buster Habano Gordo,https://pyramidcigars.com/products/punch-knuckle-buster-gordo-6-25-x-60?_pos=3&_sid=7d4ab3bec&_ss=r,Punch,Knuckle Buster,Nicaraguan Habano,Gordo,6x60,20,106.06,True,
PUNCH|PUNCH|KNUCKLEBUSTER|GORDO|GORDO|6x60|ECU|BOX20,Knuckle Buster Shade Gordo,https://pyramidcigars.com/products/punch-knuckle-buster-shade-gordo-6-0-x-60?_pos=2&_sid=7d4ab3bec&_ss=r,Punch,Knuckle Buster,Ecuadorian Connecticut Shade,Gordo,6x60,20,100.86,True,
PUNCH|PUNCH|KNUCKLEBUSTER|GORDO|GORDO|6x60|MAD|BOX20,Knuckle Buster Maduro Gordo,https://pyramidcigars.com/products/punch-knuckle-buster-maduro-gordo-6-0-x-60?_pos=4&_sid=7d4ab3bec&_ss=r,Punch,Knuckle Buster,Connecticut Broadleaf,Gordo,6x60,20,101.18,True,
