title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock
Alec Bradley Black Market Robusto Honduran - Pack of 10,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Falec-bradley-black-market-robusto-pack-of-10%2F2024692%2F%23p-2009045,Alec Bradley,Black Market,Nicaraguan,Robusto,5.0 x 52.0,22,97.99,True
Alec Bradley Black Market Esteli Robusto - Pack of 10,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Falec-bradley-black-market-esteli-robusto-pack-of-10%2F2034032%2F%23p-2009053,Alec Bradley,Black Market Esteli,Nicaraguan Habano,Robusto,5.0 x 50.0,20,97.99,True
Oliva Saison Robusto - Pack of 20,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-saison-robusto-pack-of-20-cigars%2F2051339%2F%23p-2026909,Oliva,Saison,Connecticut Broadleaf,Robusto,5.0 x 50.0,10,99.99,True
Oliva Connecticut Reserve Toro - Box of 10,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-connecticut-reserve-toro%2F2028565%2F%23p-194845,Oliva,Connecticut Reserve,Connecticut Shade,Toro,6.0 x 50.0,20,102.99,True
Oliva Serie V Double Robusto Maduro - Box of 10,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-serie-v-double-robusto-maduro%2F91539%2F%23p-184535,Oliva,Serie V,Ecuadorian Habano,Robusto,5.0 x 54.0,24,103.99,True
Macanudo Cru Royale Robusto Habano - Pack of 10,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmacanudo-cru-royale-robusto-pack-of-10%2F2024191%2F%23p-176432,Macanudo,Cru Royale,Brazilian Arapiraca,Robusto,5.0 x 50.0,20,103.99,True
Romeo y Julieta Reserva Real Robusto Connecticut - Pack of 10,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fromeo-y-julieta-reserva-real-robusto-connecticut-10-pack%2F100422%2F%23p-193604,Romeo y Julieta,Reserva Real,Ecuador Connecticut,Robusto,5.0 x 52.0,25,104.99,True
Romeo y Julieta Reserva Real Toro Connecticut - Pack of 10,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fromeo-y-julieta-reserva-real-toro-connecticut%2F98341%2F%23p-184691,Romeo y Julieta,Reserva Real,Ecuador Connecticut,Toro,6.0 x 54.0,25,106.99,True
Ashton Classic Corona Connecticut - Pack of 10,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fashton-classic-corona-connecticut%2F66873%2F%23p-140346,Ashton,Classic,Connecticut Shade,Corona,5.5 x 44.0,25,111.99,True
Alec Bradley Black Market Churchill Honduran - Pack of 10,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Falec-bradley-black-market-churchill-honduran-pack-of-10%2F95007%2F%23p-187366,Alec Bradley,Black Market,Nicaraguan,Churchill,6.75 x 47.0,22,112.99,True
