title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock
Romeo y Julieta Reserva Real Lonsdale Connecticut - Box of 25,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fromeo-y-julieta-reserva-real-lonsdale-connecticut%2F68052%2F%23p-141740,Romeo y Julieta,Reserva Real,Ecuador Connecticut,Lonsdale,6.5 x 44.0,25,233.99,True
Oliva Serie V Belicoso Sun Grown - Box of 24,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-serie-v-belicoso-sun-grown-box-of-24%2F2048116%2F%23p-164735,Oliva,Serie V,Ecuadorian Habano,Belicoso,5.5 x 54.0,24,236.99,True
Alec Bradley Magic Toast Toro Box of 24 - Box of 24,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Falec-bradley-magic-toast-toro-maduro%2F101308%2F%23p-2037847,Alec Bradley,Magic Toast,Nicaraguan Habano,Toro,6.0 x 52.0,20,239.99,True
Alec Bradley Prensado Corona Gorda - Box of 24,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Falec-bradley-prensado-corona-gorda-corojo%2F77707%2F%23p-2037744,Alec Bradley,Prensado,Honduran Corojo,Corona Gorda,5.625 x 46.0,20,239.99,True
Alec Bradley Tempus - Box of 24 Medius 6,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Falec-bradley-tempus-medius-8-honduran-cigar%2F2053613%2F%23p-2037732,Alec Bradley,Tempus,Honduran Criollo,Medius 6,6.0 x 50.0,21,241.99,True
Alec Bradley Black Market Toro Box of 24 - Box of 24,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Falec-bradley-black-market-toro-honduran%2F83427%2F%23p-2036750,Alec Bradley,Black Market,Nicaraguan,Toro,6.0 x 52.0,22,248.99,True
Romeo By Romeo y Julieta Churchill Natural - Box of 20,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fromeo-by-romeo-y-julieta-churchill-natural%2F87749%2F%23p-180646,Romeo y Julieta,Romeo by Romeo y Julieta,Ecuador Habano,Churchill,7.0 x 50.0,25,251.99,True
Romeo Y Julieta Reserva Real Nicaragua Robusto - Box of 25,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fromeo-y-julieta-reserva-real-nicaragua-robusto%2F2031324%2F%23p-2030988,Romeo y Julieta,Reserva Real Nicaragua,Nicaraguan,Robusto,5.0 x 50.0,25,251.99,True
Alec Bradley Magic Toast Gordo Box of 24 - Box of 24,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Falec-bradley-magic-toast-gordo-maduro%2F101306%2F%23p-2037848,Alec Bradley,Magic Toast,Nicaraguan Habano,Gordo,6.0 x 60.0,20,256.99,True
Rocky Patel Decade Toro Sumatra - Box of 20,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Frocky-patel-decade-toro-sumatra%2F69646%2F%23p-143483,Rocky Patel,Decade,Ecuadorian Sumatra,Toro,6.5 x 52.0,20,257.99,True
Romeo Y Julieta Reserva Real Nicaragua Toro - Box of 25,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fromeo-y-julieta-reserva-real-nicaragua-toro%2F2031323%2F%23p-2030987,Romeo y Julieta,Reserva Real Nicaragua,Nicaraguan,Toro,6.0 x 54.0,25,265.99,True
Rocky Patel Decade Torpedo Sumatra - Box of 20,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Frocky-patel-decade-torpedo-sumatra%2F85524%2F%23p-178409,Rocky Patel,Decade,Ecuadorian Sumatra,Torpedo,6.5 x 52.0,20,268.99,True
Alec Bradley Black Market Gordo Box of 24 - Box of 24,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Falec-bradley-black-market-gordo-honduran-cigar-box-of-24%2F2048252%2F%23p-2036749,Alec Bradley,Black Market,Nicaraguan,Gordo,6.0 x 60.0,22,269.99,True
La Aroma De Cuba Pasion - Box of 25,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fla-aroma-de-cuba-pasion-robusto-cigars%2F2036732%2F%23p-2049474,La Aroma de Cuba,Pasion,Mexican San Andres,Robusto,5.0 x 50.0,20,275.99,True
Oliva Serie V Torpedo Sun Grown - Box of 24,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-serie-v-torpedo-sun-grown-box-of-24%2F2048110%2F%23p-164146,Oliva,Serie V,Ecuadorian Habano,Torpedo,6.5 x 52.0,24,281.99,True
Ashton Classic 8-9-8 Connecticut - Box of 25,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fashton-classic-8-9-8-lonsdale-connecticut%2F66871%2F%23p-140338,Ashton,Classic,Connecticut Shade,Panetela,6.0 x 36.0,25,283.99,True
Romeo Y Julieta Reserva Real Nicaragua Churchill - Box of 25,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fromeo-y-julieta-reserva-real-nicaragua-churchill%2F2031325%2F%23p-2030989,Romeo y Julieta,Reserva Real Nicaragua,Nicaraguan,Churchill,7.0 x 50.0,25,283.99,True
Montecristo Nicaragua Robusto Nicaraguan - Box of 20,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmontecristo-nicaragua-robusto-nicaraguan%2F101071%2F%23p-194588,Montecristo,Nicaragua,Nicaraguan Habano,Robusto,5.0 x 50.0,20,284.99,True
Oliva Serie V Double Toro Sun Grown - Box of 24,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-serie-v-double-toro-sun-grown%2F74192%2F%23p-164725,Oliva,Serie V,Ecuadorian Habano,Double Toro,6.0 x 60.0,10,292.99,True
Rocky Patel ALR Second Edition Toro - Box of 20,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Frocky-patel-alr-second-edition-toro%2F2022983%2F%23p-2022977,Rocky Patel,ALR Second Edition,Mexican San Andres,Toro,6.5 x 52.0,20,292.99,True
Arturo Fuente Don Carlos Robusto Cameroon - Box of 25,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Farturo-fuente-don-carlos-robusto-cameroon%2F67066%2F%23p-140602,Arturo Fuente,Don Carlos,Cameroon,Robusto,5.0 x 50.0,25,294.53,True
La Aroma De Cuba Pasion Churchill Box of 25 - Box of 25,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fla-aroma-de-cuba-pasion-churchill-cigars%2F2036734%2F%23p-2036696,La Aroma de Cuba,Pasion,Mexican San Andres,Churchill,7.0 x 49.0,20,298.99,True
Padron Family Reserve 95 Years - Box of 10,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fpadron-family-reserve-95-years-natural-cigars%2F2039312%2F%23p-2039313,Padron,Family Reserve,Natural,No. 45,5.125 x 52.0,10,321.0,True
Oliva Serie V Lancero Sun Grown - Box of 36,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Foliva-serie-v-lancero-sun-grown-box-of-36%2F2048114%2F%23p-164727,Oliva,Serie V,Ecuadorian Habano,Lancero,7.0 x 38.0,20,325.99,True
Arturo Fuente Don Carlos Belicoso Cameroon - Box of 25,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Farturo-fuente-don-carlos-belicoso-cameroon%2F74619%2F%23p-165126,Arturo Fuente,Don Carlos,Cameroon,Belicoso,5.375 x 52.0,25,326.19,True
Montecristo Nicaragua Churchill Nicaraguan - Box of 20,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmontecristo-nicaragua-churchill-nicaraguan%2F101069%2F%23p-194586,Montecristo,Nicaragua,Nicaraguan Habano,Churchill,7.0 x 54.0,20,333.99,True
Ashton VSG Robusto Sun Grown - Box of 24,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fashton-vsg-robusto-sun-grown%2F78741%2F%23p-171364,Ashton,VSG,Ecuadorian Sun Grown,Robusto,5.0 x 50.0,24,338.99,True
Alec Bradley Prensado Torpedo - Box of 24,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Falec-bradley-prensado-torpedo-corojo%2F77710%2F%23p-2037741,Alec Bradley,Prensado,Honduran Corojo,Torpedo,6.5 x 52.0,20,341.99,True
Ashton Heritage Puro Sol Double Corona Habano - Box of 25,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fashton-heritage-puro-sol-double-corona-habano%2F68267%2F%23p-141986,Ashton,Heritage Puro Sol,Ecuadorian Sun Grown,Double Corona,7.0 x 50.0,25,361.99,True
Ashton Symmetry Belicoso Habano - Box of 25,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fashton-symmetry-belicoso-habano%2F99999%2F%23p-193412,Ashton,Symmetry,Ecuadorian Habano,Belicoso,6.25 x 52.0,20,381.99,True
Rocky Patel The Edge Maduro Toro - Box of 100,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Frocky-patel-edge-maduro-toro-box-of-100-cigars%2F2051254%2F%23p-2009813,Rocky Patel,The Edge Maduro,Costa Rican Maduro,Toro,6.0 x 52.0,20,812.99,True
