cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,msrp_price,discount_percent
HOYODEMONTERREY|HOYODEMONTERREY|EXCALIBUR|EPICURE|EPICURE|5.25x50|CT|BOX20,Epicure,https://www.planetcigars.com/excalibur/excalibur-epicures-natural
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://www.planetcigars.com/cigar-brands/arturo-fuente-hemingway-cigars/arturo-fuente-hemingway-classic-cigars
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,Best Seller,https://www.planetcigars.com/arturo-fuente-hemingway-best-seller-cigars
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,Signature,https://www.planetcigars.com/arturo-fuente-hemingway-signature-cigars
