cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock,current_promotions_applied
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SHORTSTORY|SHORTSTORY|4x49|CAM|BOX25,Short Story,https://cigardepot.us/shop/arturo-fuente-hemingway-short-story-box-of-25/,Arturo Fuente,Hemingway,Cameroon,Short Story,4x49,25,159.86,True,
CAO|CAO|FLATHEAD|V554CAMSHAFT|V554CAMSHAFT|5.5x54|CT|BOX24,V554 Camshaft,https://cigardepot.us/shop/cao-flathead-v554-camshaft-box-of-24-5-5-x-54/,CAO,Flathead,Connecticut Broadleaf,V554 Camshaft,5.5x54,24,189.95,True,
CAO|CAO|FLATHEAD|V660CARB|V660CARB|6x60|CT|BOX24,,https://cigardepot.us/shop/cao-flathead-v660-carb-6-x-60-box-of-24/
CAO|CAO|FLATHEAD|V770BIGBLOCK|V770BIGBLOCK|7x70|CT|BOX24,,https://cigardepot.us/shop/cao-flathead-v770-big-block-7-x-70/
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|ROBUSTO|ROBUSTO|5x54|SAN|BOX25,,https://cigardepot.us/shop/liga-undercrown-maduro-robusto-5-x-54-box-of-25/
DREWESTATE|DREWESTATE|UNDERCROWNMADURO|CORONADOBLE|CORONADOBLE|7x54|SAN|BOX25,,https://cigardepot.us/shop/liga-undercrown-maduro-corona-doble-7x54/
