cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock
DREWESTATE|DREWESTATE|HERRERAESTELINORTENO|LONSDALEDELUXE|LONSDALEDELUXE|6.25x44|MEX|BOX25,,https://www.smallbatchcigar.com/herrera-esteli-norteno-lonsdale-2
PERDOMO|PERDOMO|RESERVE10THANNIVERSARYCHAMPAGNE|EPICURE|EPICURE|6x54|ECU|BOX25,,https://www.smallbatchcigar.com/perdomo-reserve-10th-anniversary-champagne-epicure
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,,https://www.smallbatchcigar.com/hemingway-classic
ROMEOYJULIETA|ROMEOYJULIETA|1875|CHURCHILL|CHURCHILL|7x50|IND|BOX25,,https://www.smallbatchcigar.com/romeo-y-julieta-1875-churchill
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,,https://www.smallbatchcigar.com/hemingway-best-seller
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,,ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25
PADRON|PADRON|1964ANNIVERSARY|DIPLOMATICO|DIPLOMATICO|7x50|SUN|BOX25,,https://www.smallbatchcigar.com/padron-1964-diplomatico-maduro
FOUNDATION|OLMEC|OLMEC|TORO|TORO|6x52|MAD|BOX12,,https://www.smallbatchcigar.com/olmec-maduro-toro-by-foundation-cigars
MYFATHER|MYFATHER|THEJUDGE|GRANDROBUSTO|GRANDROBUSTO|5.625x60|ECU|BOX23,,https://www.smallbatchcigar.com/the-judge-grand-robusto
MYFATHER|MYFATHER|LEBIJOU1922|TORO|TORO|6.5x52|NIC|BOX23,,https://www.smallbatchcigar.com/le-bijou-1922-toro
