title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock
La Gloria Cubana Serie S Maduro Robusto Gordo,https://foxcigar.com/shop/cigars/la-gloria-cubana/la-gloria-cubana-serie-s-maduro-robusto-gordo/,Serie V,Unknown,Maduro,Robusto,nanxnan,1,8.29,False
Padron 1964 Anniversary Serie Monarca Natural,https://foxcigar.com/shop/cigars/padron/1964/monarca/,Padron,1964 Anniversary,Connecticut Shade,Unknown,nanxnan,1,15.35,False
Buffalo Trace Toro Box With Buffalo Trace Bourbon Package,https://foxcigar.com/shop/collectable-barrel-pairings/buffalo-trace-toro-box-with-buffalo-trace-bourbon-package/,Unknown,Unknown,Unknown,Toro,nanxnan,1,204.99,True
Padron 1964 Anniversary Series Maduro Sampler,https://foxcigar.com/shop/cigars/padron/padron-1964-anniversary-series-maduro-sampler/,Padron,1964 Anniversary,Maduro,Unknown,nanxnan,1,117.55,False
Montecristo 1935 Anniversary Nicaragua Robusto,https://foxcigar.com/shop/cigars/montecristo/1935-anniversary/montecristo-1935-anniversary-nicaragua-robusto/,Montecristo,1935 Anniversary Nicaragua,Unknown,Robusto,nanxnan,1,17.81,True
Curivari Buenaventura Bv Mini Maduro,https://foxcigar.com/shop/cigars/curivari/curivari-buenaventura-bv-mini-maduro/,Unknown,Unknown,Maduro,Unknown,nanxnan,1,6.0,False
Havana Q Double Churchill,https://foxcigar.com/shop/cigars/j-c-newman/havana-q-double-churchill/,Unknown,Unknown,Unknown,Churchill,nanxnan,1,67.0,True
God Of Fire Toro,https://foxcigar.com/shop/cigars/arturo-fuente/god-of-fire-toro/,Unknown,Unknown,Unknown,Toro,nanxnan,1,28.5,False
Diesel Founders Collection Raceking Toro,https://foxcigar.com/shop/cigars/diesel/diesel-founders-collection-raceking-toro/,Unknown,Unknown,Unknown,Toro,nanxnan,1,15.99,False
Curivari Seleccion Privada Maduro Magnificos,https://foxcigar.com/shop/cigars/curivari/curivari-seleccion-privada-maduro-magnificos/,Liga Privada,Unknown,Maduro,Unknown,nanxnan,1,9.5,False
God Of Fire Serie B Robusto,https://foxcigar.com/shop/cigars/arturo-fuente/serie-b-robusto/,Serie V,Unknown,Unknown,Robusto,nanxnan,1,27.0,False
Arturo Fuente Churchill Natural Shade Grown,https://foxcigar.com/shop/cigars/arturo-fuente/arturo-fuente-churchill-natural-shade-grown/,Arturo Fuente,Unknown,Connecticut Shade,Churchill,nanxnan,1,8.4,False
H. Upmann 1844 Classic Robusto,https://foxcigar.com/shop/cigars/h-upmann/h-upmann-1844-classic-robusto/,Unknown,Unknown,Unknown,Robusto,nanxnan,1,8.63,True
Ffox Heaven And Earth Bbmf Maduro,https://foxcigar.com/shop/cigars/arturo-fuente/opus-x/ffox-heaven-and-earth-bbmf-maduro/,Unknown,Unknown,Maduro,Unknown,nanxnan,1,969.0,False
Henry Clay War Hawk Robusto,https://foxcigar.com/shop/cigars/henry-clay/henry-clay-war-hawk-robusto/,Unknown,Unknown,Unknown,Robusto,nanxnan,1,9.38,True
Trader Jacks Midnight Cigars Aargh Jar,https://foxcigar.com/shop/cigars/infused/trader-jacks-midnight-cigars-aargh-jar/,Unknown,Unknown,Unknown,Unknown,nanxnan,1,78.6,False
Black Label Trading Co. Eletto Corona Gorda,https://foxcigar.com/shop/cigars/black-label-trading-co/black-label-trading-co-eletto-corona-gorda/,Unknown,Unknown,Unknown,Corona,nanxnan,1,12.4,False
Perdomo 10Th Anniversary Champagne Super Toro,https://foxcigar.com/shop/cigars/perdomo/perdomo-10th-champagne-super-toro/,Perdomo,Unknown,Unknown,Toro,nanxnan,1,11.75,True
My Father Flor De Las Antillas Maduro Torpedo,https://foxcigar.com/shop/cigars/my-father/my-father-flor-de-las-antillas-maduro-torpedo/,My Father,Flor de las Antillas,Maduro,Torpedo,nanxnan,1,10.3,False
Deadwood Tobacco Co. Dominicana Toro,https://foxcigar.com/shop/cigars/drew-estate/deadwood-tobacco-co-dominicana-toro/,Unknown,Unknown,Unknown,Toro,nanxnan,1,12.5,True
House Of Dreams Perfecto Package 3,https://foxcigar.com/shop/cigars/arturo-fuente/fuente-friday/house-of-dreams-perfecto-package-3/,Unknown,Unknown,Unknown,Perfecto,nanxnan,1,2700.0,False
Avo Nicaragua Fogata Toro,https://foxcigar.com/shop/cigars/avo/avo-nicaragua-fogata-toro/,Unknown,Unknown,Unknown,Toro,nanxnan,1,12.8,False
Foxtail 5Ct Toro Sampler,https://foxcigar.com/shop/cigars/foxtail/foxtail-5ct-sampler/,Unknown,Unknown,Unknown,Toro,nanxnan,5,39.99,True
Brick House Toro Mixed Sampler,https://foxcigar.com/shop/cigars/brick-house/brick-house-toro-mixed-sampler/,Unknown,Unknown,Unknown,Toro,nanxnan,1,33.4,False
Oliva Serie V Melanio Toro,https://foxcigar.com/shop/cigars/oliva/oliva-serie-v-melanio-toro/,Oliva,Serie V Melanio,Unknown,Toro,nanxnan,1,17.64,False
Foundation Wise Man Corojo Double Corona,https://foxcigar.com/shop/cigars/foundation/foundation-wise-man-corojo-double-corona/,Unknown,Unknown,Corojo,Double Corona,nanxnan,1,13.5,False
4 Count Avo Syncro Toro Fresh Pack,https://foxcigar.com/shop/cigars/avo/4-count-avo-syncro-toro-fresh-pack/,Unknown,Unknown,Unknown,Toro,nanxnan,4,39.99,False
Davidoff Escurio Robusto Tubos Pack,https://foxcigar.com/shop/cigars/davidoff/davidoff-escurio-robusto-tubos-pack/,Unknown,Unknown,Unknown,Robusto,nanxnan,1,76.4,False
Black Label Santa Muerte Short Robusto,https://foxcigar.com/shop/cigars/black-label-trading-co/black-label-santa-muerte-short-robusto/,Unknown,Unknown,Unknown,Robusto,nanxnan,1,11.3,False
Padron Family Reserve Natural Sampler,https://foxcigar.com/shop/cigars/padron/padron-family-reserve-gift-natural/,Padron,Family Reserve,Connecticut Shade,Unknown,nanxnan,1,158.55,True
H. Upmann Toro By Aj Fernandez,https://foxcigar.com/shop/cigars/h-upmann/h-upmann-toro-by-aj-fernandez/,Aj Fernandez,Unknown,Unknown,Toro,nanxnan,1,11.99,False
Opus X Lost City Robusto,https://foxcigar.com/shop/cigars/limited-release/opus-x-lost-city-robusto/,Unknown,Opus X,Unknown,Robusto,nanxnan,1,41.29,False
Rocky Patel Dbs Toro,https://foxcigar.com/shop/cigars/rocky-patel/rocky-patel-dbs-toro/,Rocky Patel,Unknown,Unknown,Toro,nanxnan,1,21.0,False
La Gloria Cubana 5Ct Fresh Pack Sampler,https://foxcigar.com/shop/cigars/la-gloria-cubana/la-gloria-cubana-5ct-fresh-pack-sampler/,Unknown,Unknown,Unknown,Unknown,nanxnan,5,39.99,False
Padron Collection Natural Sampler,https://foxcigar.com/shop/samplers/padron-collection-natural-sampler/,Padron,Unknown,Connecticut Shade,Unknown,nanxnan,1,102.1,True
Java Mint Robusto,https://foxcigar.com/shop/cigars/rocky-patel/java/java-mint-robusto/,Unknown,Unknown,Unknown,Robusto,nanxnan,1,11.7,False
Acid Krush Classic Gold Sumatra Cigarillo,https://foxcigar.com/shop/cigars/drew-estate/acid-krush-classic-gold-sumatra/,Drew Estate,Acid,Unknown,Unknown,nanxnan,1,16.99,False
La Gran Fumada Impossible Box Of 13 Volume Ii,https://foxcigar.com/shop/cigars/fine-rare/la-gran-fumada-impossible-box-of-13-v2/,Unknown,Unknown,Unknown,Unknown,nanxnan,13,2999.99,False
La Flor Dominicana Oro No. 6 Natural,https://foxcigar.com/shop/cigars/la-flor-dominicana/la-flor-dominicana-oro-no-6-natural/,Flor de Las Antillas,Unknown,Connecticut Shade,Unknown,nanxnan,1,17.4,False
M By Macanudo Coffee Toro,https://foxcigar.com/shop/cigars/macanudo/m-by-macanudo-coffee-toro/,Macanudo,Unknown,Unknown,Toro,nanxnan,1,9.99,False
Undercrown 10 Robusto,https://foxcigar.com/shop/cigars/drew-estate/undercrown-10-robusto/,Drew Estate,Undercrown 10,Unknown,Robusto,nanxnan,1,13.25,False
Oscar Valladares Super Fly Super Gordo Maduro,https://foxcigar.com/shop/cigars/oscar-valladares/super-fly/super-fly-super-gordo-maduro/,Unknown,Unknown,Maduro,Unknown,nanxnan,1,58.99,False
Padron 1926 Serie Maduro Sampler,https://foxcigar.com/shop/cigars/padron/padron-1926-serie-maduro-gift-pack/,Padron,1926 Serie,Maduro,Unknown,nanxnan,1,95.2,True
Joya De Nicaragua Joya Red Short Churchill,https://foxcigar.com/shop/cigars/joya-de-nicaragua/joya-de-nicaragua-red-short-churchill/,Unknown,Unknown,Unknown,Churchill,nanxnan,1,7.0,False
Cohiba Connecticut Robusto Crystal,https://foxcigar.com/shop/cigars/cohiba/cohiba-connecticut-robusto-crystal/,Unknown,Unknown,Connecticut Shade,Robusto,nanxnan,1,26.99,False
Davidoff Signature Petit Corona,https://foxcigar.com/shop/cigars/davidoff/davidoff-signature-petit-corona/,Unknown,Unknown,Unknown,Petit Corona,nanxnan,1,15.9,False
Charter Oak Ct Shade Toro,https://foxcigar.com/shop/cigars/foundation/charter-oak-ct-shade-toro/,Unknown,Unknown,Unknown,Toro,nanxnan,1,7.0,False
Bolivar Cofradia Churchill No. 754,https://foxcigar.com/shop/cigars/bolivar/bolivar-cofradia-churchill-no-754/,Oliva,Unknown,Unknown,Churchill,nanxnan,1,8.29,False
Montecristo 1935 Anniversary Edicion Diamante Churchill,https://foxcigar.com/shop/cigars/montecristo/montecristo-1935-anniversary-edicion-diamante-churchill/,Montecristo,Unknown,Unknown,Churchill,nanxnan,1,26.6,False
Charter Oak Ct Broadleaf Toro,https://foxcigar.com/shop/cigars/foundation/charter-oak-ct-broadleaf-toro/,Unknown,Unknown,Unknown,Toro,nanxnan,1,7.0,False
Ffox Heaven And Earth Scorpio Maduro,https://foxcigar.com/shop/cigars/arturo-fuente/opus-x/ffox-heaven-and-earth-scorpio-maduro/,Unknown,Unknown,Maduro,Unknown,nanxnan,1,969.0,False
Curivari Seleccion Privada Lanceros Le 2023,https://foxcigar.com/shop/cigars/curivari/curivari-seleccion-privada-lanceros-le-2023/,Liga Privada,Unknown,Unknown,Lancero,nanxnan,1,9.0,False
Black Label Trading Co. Salvation Gran Toro,https://foxcigar.com/shop/cigars/black-label-trading-co/black-label-trading-co-salvation-gran-toro/,Unknown,Unknown,Unknown,Toro,nanxnan,1,13.0,False
Davidoff Yamasa Robusto,https://foxcigar.com/shop/cigars/davidoff/davidoff-yamasa-robusto/,Unknown,Unknown,Unknown,Robusto,nanxnan,1,19.8,False
Arturo Fuente 8-5-8 Natural 10 Count Box,https://foxcigar.com/shop/cigars/arturo-fuente/don-carlos/arturo-fuente-8-5-8-natural-10-count-box/,Arturo Fuente,Unknown,Connecticut Shade,Unknown,nanxnan,10,100.99,False
Avo Heritage Toro,https://foxcigar.com/shop/cigars/avo/heritage-toro/,Unknown,Unknown,Unknown,Toro,nanxnan,1,11.9,False
Undercrown Maduro Fresh Pack,https://foxcigar.com/shop/cigars/drew-estate/undercrown-maduro-kit/,Drew Estate,Undercrown Maduro,Maduro,Unknown,nanxnan,1,34.99,False
Liga Privada Unico Serie L40 Lancero,https://foxcigar.com/shop/cigars/drew-estate/liga-privada-unico-serie-l40-lancero/,Drew Estate,Liga Privada Unico Serie,Unknown,Lancero,nanxnan,1,20.0,False
Perdomo 30Th Sun Grown Robusto,https://foxcigar.com/shop/cigars/perdomo/perdomo-30th-sun-grown-robusto/,Perdomo,Unknown,Unknown,Robusto,nanxnan,1,12.5,True
Drew Estate Larutan Egg Maduro,https://foxcigar.com/shop/cigars/drew-estate/drew-estate-larutan-egg-maduro/,Drew Estate,Unknown,Maduro,Unknown,nanxnan,1,24.95,False
