brand,title,box_qty,price,url
Illusione,Illusione Original Documents Corojo - Box of 25,25,181.99 USD,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fillusione-original-documents-cigar%2F2056425%2F%23p-2056408
Illusione,Illusione Original Documents Corojo - Box of 25,25,232.99 USD,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fillusione-original-documents-cigar%2F2056425%2F%23p-2056409
Fratello,Fratello Navetta Inverso - Box of 20,20,234.99 USD,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Ffratello-navetta-inverso-cigar%2F2056925%2F%23p-2056922
Fratello,Fratello Navetta Inverso - Box of 20,20,252.99 USD,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Ffratello-navetta-inverso-cigar%2F2056925%2F%23p-2056924
Fratello,Fratello Navetta Inverso - Box of 20,20,271.99 USD,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Ffratello-navetta-inverso-cigar%2F2056925%2F%23p-2057314
Crowned Heads,Crown Heads Mil Dias - Box of 21 Sublime,21,236.99 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fcrowned-heads-mil-dias-sublime%2F2033556%2F%23p-2058344
Laranja,Espinosa Laranja Corona Gorda Brazilian - Box of 20,20,201.99 USD,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fespinosa-laranja-corona-gorda-brazilian%2F92287%2F%23p-185324
E.P. Carrillo,EP Carrillo Essence Connecticut - Box of 24 Robusto,24,199.99 USD,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fep-carrillo-essence-connecticut-cigar%2F2057807%2F%23p-2057802
E.P. Carrillo,EP Carrillo Essence Connecticut - Box of 24 Toro,24,216.99 USD,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fep-carrillo-essence-connecticut-cigar%2F2057807%2F%23p-2057803
Davidoff,Davidoff Grand Cru Series No.3 Connecticut Petite Corona - Box of 25,25,512.50 USD,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fdavidoff-grand-cru-series-no-3-connecticut%2F69790%2F%23p-143638
AVO,AVO Syncro Fogata Robusto Habano - Box of 20,20,219.99 USD,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Favo-syncro-fogata-robusto-habano%2F94204%2F%23p-187262
Fratello,Fratello Sorella - Box of 20,20,222.99 USD,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Ffratello-sorella-cigars%2F2051207%2F%23p-2051202
Fratello,Fratello Sorella - Pack of 20,20,222.99 USD,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Ffratello-sorella-cigars%2F2051207%2F%23p-2057311
Diesel,Diesel Unlimited D.X Belicoso Maduro - Box of 20,20,134.99 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fdiesel-unlimited-d-x-belicoso-maduro%2F101046%2F%23p-2009697
Diesel,Diesel Vintage Series Natural - Box of 20,20,141.99 USD,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fdiesel-vintage-series-natural-cigar%2F2052335%2F%23p-2052325
Diesel,Diesel Vintage Series Natural - Box of 20,20,127.99 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fdiesel-vintage-series-natural-cigar%2F2052335%2F%23p-2052329
Diesel,Diesel Vintage Series Natural - Box of 20,20,141.99 USD,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fdiesel-vintage-series-natural-cigar%2F2052335%2F%23p-2052331
Diesel,Diesel Vintage Series Natural - Box of 20,20,143.99 USD,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fdiesel-vintage-series-natural-cigar%2F2052335%2F%23p-2057565
Man O' War,Man O' War Armada - Pack of 20 - Gordo,20,451.99 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fman-o-war-armada-cigar%2F2052239%2F%23p-2058560
Fratello,Fratello Navetta - Pack of 20 - Toro Endeavour,20,254.99 USD,https://www.tkqlhce.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Ffratello-navetta-toro-endeavor-cigar%2F2057313%2F%23p-2058556
Fratello,Fratello Arlequin - Box of 20,20,204.99 USD,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Ffratello-arlequin-cigars%2F2051201%2F%23p-2051197
Fratello,Fratello Arlequin - Box of 20,20,232.99 USD,https://www.anrdoezrs.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Ffratello-arlequin-cigars%2F2051201%2F%23p-2051199
Fratello,Fratello Arlequin - Box of 20,20,241.99 USD,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Ffratello-arlequin-cigars%2F2051201%2F%23p-2051200
Fratello,Fratello Arlequin - Pack of 20 - Corona Gorda,20,204.99 USD,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Ffratello-arlequin-cigars%2F2051201%2F%23p-2058557
Fratello,Fratello Arlequin - Pack of 20,20,204.99 USD,https://www.dpbolvw.net/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Ffratello-arlequin-cigars%2F2051201%2F%23p-2058558
Don Rafael,Don Rafael Signature Corona - Pack of 25,25,79.99 USD,https://www.kqzyfj.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fdon-rafael-signature-corona-cigar%2F2050933%2F%23p-2026527
Mark Twain,"Mark Twain The Pen - Box of 20 (5.6"" x 46)",20,78.79 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmark-twain-the-pen-cigar%2F2053120%2F%23p-2053114
Mark Twain,"Mark Twain The Pen - Box of 20 (5.2"" x 54)",20,82.49 USD,https://www.jdoqocy.com/click-101532120-13759731?url=https%3A%2F%2Fwww.thompsoncigar.com%2Fp%2Fmark-twain-the-pen-cigar%2F2053120%2F%23p-2053116
