confidence,score,cid,brand,line,vitola,wrapper,cid_box_qty,retailer_key,product_title,product_url,product_vendor,variant_title,variant_price,variant_box_qty,available,reason
HIGH,85,OLIVA|OLIVA|SERIEV|TORPEDO|TORPEDO|6.5x52|MEX|BOX24,Oliva,Serie V,Torpedo,Mexican San Andres,24,tobaccostock,Oliva Serie O Torpedo Maduro Cigars Box of 20,https://www.tobaccostock.com/products/oliva-serie-o-torpedo-maduro-cigars-box-of-20,Oliva O,Default Title,117.99,,False,"brand=100.0, line=83.33333333333333, vitola=100.0"
HIGH,85,OLIVA|OLIVA|SERIEG|BELICOSO|BELICOSO|6x52|MEX|BOX25,Oliva,Serie G,Belicoso,Mexican San Andres,25,tobaccostock,Oliva Serie V Belicoso Cigars Box of 24,https://www.tobaccostock.com/products/oliva-serie-v-belicoso-cigars-box-of-24,Oliva V,Default Title,172.00,,False,"brand=100.0, line=83.33333333333333, vitola=100.0"
HIGH,85,OLIVA|OLIVA|SERIEG|SPECIALG|SPECIALG|4.75x46|CAM|BOX25,Oliva,Serie G,Special G,Cameroon,25,tobaccostock,Oliva Serie V Special Figurado Cigars Box of 24,https://www.tobaccostock.com/products/oliva-serie-v-special-figurado-cigars-box-of-24,Oliva V,Default Title,242.00,,True,"brand=100.0, line=83.33333333333333, vitola=87.5"
HIGH,85,OLIVA|OLIVA|SERIEVMELANIO|CHURCHILL|CHURCHILL|7x48|ECU|BOX10,Oliva,Serie V Melanio,Churchill,Ecuadorian Sumatra,10,tobaccostock,Oliva Serie V Melanio Churchill Cigars Box of 10,https://www.tobaccostock.com/products/oliva-serie-v-melanio-churchill-cigars-box-of-10,Oliva V Melanio,Default Title,135.25,,True,"brand=100.0, line=100.0, vitola=100.0"
HIGH,85,OLIVA|OLIVA|SERIEVMELANIO|FIGURADO|FIGURADO|6.5x52|ECU|BOX10,Oliva,Serie V Melanio,Figurado,Ecuadorian Sumatra,10,tobaccostock,Oliva Serie V Melanio Figurado Cigars Box of 10,https://www.tobaccostock.com/products/oliva-serie-v-melanio-figurado-cigars-box-of-10,Oliva V Melanio,Default Title,145.25,,True,"brand=100.0, line=100.0, vitola=100.0"
HIGH,85,OLIVA|OLIVA|SERIEVMELANIO|TORPEDO|TORPEDO|6.5x52|ECU|BOX10,Oliva,Serie V Melanio,Torpedo,Ecuadorian Sumatra,10,tobaccostock,Oliva Serie V Melanio Torpedo Maduro Cigars Box of 10,https://www.tobaccostock.com/products/oliva-serie-v-melanio-torpedo-maduro-cigars-box-of-10,Oliva V Melanio,Default Title,134.99,,True,"brand=100.0, line=100.0, vitola=100.0"
HIGH,85,OLIVA|OLIVA|SERIEVMELANIO|PETITCORONA|PETITCORONA|4.5x50|ECU|BOX10,Oliva,Serie V Melanio,Petit Corona,Ecuadorian Sumatra,10,tobaccostock,Oliva Serie V Melanio No 4 Petit Corona Cigars Box of 10,https://www.tobaccostock.com/products/oliva-serie-v-melanio-no-4-petit-corona-cigars-box-of-10,Oliva V Melanio,Default Title,82.00,,True,"brand=100.0, line=100.0, vitola=100.0"
HIGH,85,OLIVA|OLIVA|SERIEVMELANIO|ROBUSTO|ROBUSTO|5x52|ECU|BOX10,Oliva,Serie V Melanio,Robusto,Ecuadorian Sumatra,10,tobaccostock,Oliva Serie V Melanio Robusto Cigars Box of 10,https://www.tobaccostock.com/products/oliva-serie-v-melanio-robusto-cigars-box-of-10,Oliva V Melanio,Default Title,99.99,,True,"brand=100.0, line=100.0, vitola=100.0"
HIGH,85,OLIVA|OLIVA|SERIEO|TORPEDO|TORPEDO|6.5x52|NIC|BOX2,Oliva,Serie O,Torpedo,Nicaraguan Habano,2,tobaccostock,Oliva Serie V Melanio Torpedo Cigars Box of 10,https://www.tobaccostock.com/products/oliva-serie-v-melanio-torpedo-cigars-box-of-10,Oliva V Melanio,Default Title,135.25,,True,"brand=100.0, line=83.33333333333333, vitola=100.0"
HIGH,85,OLIVA|OLIVA|SERIEG|CHURCHILL|CHURCHILL|7x48|MEX|BOX18,Oliva,Serie G,Churchill,Mexican San Andres,18,tobaccostock,Oliva Serie G Aged Cameroon Churchill Cigars Box of 25,https://www.tobaccostock.com/products/oliva-serie-g-churchill-cigars-box-of-25,Oliva G,Default Title,126.75,,True,"brand=100.0, line=100.0, vitola=100.0"
