cigar_id,title,url,brand,line,wrapper,vitola,size,box_qty,price,in_stock
HOYODEMONTERREY|HOYODEMONTERREY|EXCALIBUR|EPICURE|EPICURE|5.25x50|CT|BOX20,Epicure,https://www.planetcigars.com/excalibur/excalibur-epicures-natural,Hoyo de Monterrey,Excalibur,Connecticut Shade,Epicure,5.25x50,20,132.97,True
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|CLASSIC|CLASSIC|7x48|CAM|BOX25,Classic,https://www.planetcigars.com/cigar-brands/arturo-fuente-hemingway-cigars/arturo-fuente-hemingway-classic-cigars,Arturo Fuente,Hemingway,Cameroon,Classic,7x48,25,256.97,True
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|BESTSELLER|BESTSELLER|4.5x55|CAM|BOX25,Best Seller,https://www.planetcigars.com/arturo-fuente-hemingway-best-seller-cigars,Arturo Fuente,Hemingway,Cameroon,Best Seller,4.5x55,25,192.97,True
ARTUROFUENTE|ARTUROFUENTE|HEMINGWAY|SIGNATURE|SIGNATURE|6x46|CAM|BOX25,Signature,https://www.planetcigars.com/arturo-fuente-hemingway-signature-cigars,Arturo Fuente,Hemingway,Cameroon,Signature,6x46,25,235.97,True
