retailer,url,name,price,brand,line,vitola,wrapper,ring_gauge,length,availability,platform,tier,brand_source,scraped_at
Fox Cigar,https://foxcigar.com/shop/cigars/drew-estate/acid/acid-kuba-deluxe/,Acid Kuba Deluxe,14.2,Drew Estate,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,priority_variation,2025-10-26T20:04:38.793932
Fox Cigar,https://foxcigar.com/shop/cigars/ashton/la-aroma-de-cuba-mi-amor-robusto/,La Aroma de Cuba Mi Amor Robusto,8.75,La Aroma de Cuba,Mi Amor,Robusto,Unknown,,,Out of Stock,WooCommerce,1,master_combined,2025-10-26T20:04:41.541046
Fox Cigar,https://foxcigar.com/shop/cigars/sancho-panza/double-maduro-robusto/,Sancho Panza Double Maduro Robusto,8.29,Unknown,,Robusto,Maduro,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:04:44.013578
Fox Cigar,https://foxcigar.com/shop/cigars/drew-estate/liga-privada-h99-toro/,Liga Privada H99 Toro,18.25,Drew Estate,,Toro,Unknown,,,Out of Stock,WooCommerce,1,priority_variation,2025-10-26T20:04:46.192477
Fox Cigar,https://foxcigar.com/shop/cigars/angelenos/angelenos-robusto/,Angelenos Robusto,13.25,Unknown,,Robusto,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:04:48.664611
Fox Cigar,https://foxcigar.com/shop/cigars/davidoff/zino-platinum-scepter-grand-master-tubos/,Zino Platinum Scepter Grand Master Tubos,20.5,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:04:51.322978
Fox Cigar,https://foxcigar.com/shop/cigars/arturo-fuente/arturo-fuente-curly-head-claro/,Arturo Fuente Curly Head Claro,16.99,Arturo Fuente,Rare Pink,Unknown,Claro,,,Out of Stock,WooCommerce,1,master_exact,2025-10-26T20:04:53.627573
Fox Cigar,https://foxcigar.com/shop/cigars/romeo-y-julieta/romeo-y-julieta-1875-connecticut-nicaragua-magnum/,Romeo y Julieta 1875 Connecticut Nicaragua Magnum,12.04,Romeo y Julieta,1875 Connecticut Nicaragua,Unknown,Connecticut,,,Out of Stock,WooCommerce,1,master_combined,2025-10-26T20:04:56.155057
Fox Cigar,https://foxcigar.com/shop/cigars/black-label-trading-co/super-deluxe-petite-corona-bp/,Super Deluxe Petite Corona BP,11.0,Unknown,,Corona,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:04:59.049657
Fox Cigar,https://foxcigar.com/shop/cigars/asylum/asylum-13-cool-brew-robusto/,Asylum 13 Cool Brew Robusto,10.5,Unknown,,Robusto,Unknown,,,In Stock,WooCommerce,1,none,2025-10-26T20:05:01.811443
Fox Cigar,https://foxcigar.com/shop/cigars/bolivar/bolivar-cofradia-no-654/,Bolivar Cofradia No. 654,7.29,Oliva,Saison,Unknown,Unknown,,,Out of Stock,WooCommerce,1,master_exact,2025-10-26T20:05:03.945065
Fox Cigar,https://foxcigar.com/shop/cigars/arturo-fuente/opus-x/fuente-fuente-opusx-story-red-2024/,Fuente Fuente OpusX Story Red 2024,279.0,Arturo Fuente,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,priority_variation,2025-10-26T20:05:06.523932
Fox Cigar,https://foxcigar.com/shop/cigars/drew-estate/kentucky-fire-cured-flying-pig/,Kentucky Fire Cured Flying Pig,13.95,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:05:08.888915
Fox Cigar,https://foxcigar.com/shop/cigars/tatiana/sweet-euphoria/tatiana-classic-sweet-euphoria/,Tatiana Classic Sweet Euphoria,17.99,Unknown,,Unknown,Unknown,,,Out of Stock,WooCommerce,1,none,2025-10-26T20:05:11.505815
